name_ar,area_id,municipality_number,load_timestamp,name_en
"نخلة جبل علي","411","501","2025-10-31 12:00:03","Palm Jabal Ali"
"اليلايس 2","507","922","2025-10-31 12:00:03","Al Yelayiss 2"
"ميناء الحمريه","346","131","2025-10-31 12:00:03","Al Hamriya Port"
"الليان 2","520","988","2025-10-31 12:00:03","Al Layan 2"
"البراحه","239","122","2025-10-31 12:00:03","Al Baraha"
"معيصم الثانية","486","686","2025-10-31 12:00:03","Me'Aisem Second"
"أم الدمن","494","824","2025-10-31 12:00:03","Umm Addamin"
"الخوانيج الثانية","397","282","2025-10-31 12:00:03","Al Khawaneej Second"
"الورقاء الثالثه","298","423","2025-10-31 12:00:03","Al Warqa Third"
"راس الخور الصناعيه الاولى","376","612","2025-10-31 12:00:03","Ras Al Khor Industrial First"
"محيصنه الرابعه","361","245","2025-10-31 12:00:03","Muhaisanah Fourth"
"القوز الصناعيه الثانيه","372","365","2025-10-31 12:00:03","Al Goze Industrial Second"
"العياص","400","283","2025-10-31 12:00:03","Al Eyas"
"مرقب","524","857","2025-10-31 12:00:03","Muragab"
"الشندغه شرق","274","0","2025-10-31 12:00:03","Shandagha East"
"محيصنه","258","0","2025-10-31 12:00:03","Muhaisna"
"البرشاء جنوب الثانية","414","672","2025-10-31 12:00:03","Al Barshaa South Second"
"وادي الصفا 4","466","646","2025-10-31 12:00:03","Wadi Al Safa 4"
"المها","499","845","2025-10-31 12:00:03","Al Maha"
"الصفا الثانيه","314","357","2025-10-31 12:00:03","Al Saffa Second"
"ام سقيم الثالثه","370","366","2025-10-31 12:00:03","Um Suqaim Third"
"السطوه","266","334","2025-10-31 12:00:03","Al Satwa"
"النهده","263","0","2025-10-31 12:00:03","Al-Nahdah"
"جبل على","284","500","2025-10-31 12:00:03","Jabal Ali"
"غدير الطير","340","355","2025-10-31 12:00:03","Ghadeer Al tair"
"بور سعيد","240","129","2025-10-31 12:00:03","Port Saeed"
"مشرف","404","252","2025-10-31 12:00:03","Mushrif"
"الممزر","231","134","2025-10-31 12:00:03","Al Mamzer"
"القوز الرابعه","348","359","2025-10-31 12:00:03","Al Goze Fourth"
"مدينة هند 1","502","911","2025-10-31 12:00:03","Madinat Hind 1"
"الطوار الخامسة","357","233","2025-10-31 12:00:03","AL TWAR FIFTH"
"قريطيسه","349","941","2025-10-31 12:00:03","Grayteesah"
"الورقاء الثانيه","354","422","2025-10-31 12:00:03","Al Warqa Second"
"المركاض","412","347","2025-10-31 12:00:03","Al Merkadh"
"القصيص","305","232","2025-10-31 12:00:03","AL QUSAIS"
"الخليج التجارى","526","346","2025-10-31 12:00:03","Business Bay"
"ند الشبا الثانيه","336","615","2025-10-31 12:00:03","Nad Al Shiba Second"
"محيصنه الاولى","312","261","2025-10-31 12:00:03","Muhaisanah First"
"نايف","362","118","2025-10-31 12:00:03","Naif"
"طريق العوير","291","0","2025-10-31 12:00:03","Tareeq Al Aweer"
"الكورنيش","431","111","2025-10-31 12:00:03","Al-Cornich"
"الوحوش","488","727","2025-10-31 12:00:03","Al Wohoosh"
"المركز التجارى الاولى","341","335","2025-10-31 12:00:03","Trade Center First"
"البلوش","273","0","2025-10-31 12:00:03","Al-Baloosh"
"سيح شعيب 1","480","513","2025-10-31 12:00:03","Saih Shuaib 1"
"جبل علي الثانية","472","592","2025-10-31 12:00:03","Jabal Ali Second"
"المرر","339","117","2025-10-31 12:00:03","Al Mararr"
"ند حصة","484","626","2025-10-31 12:00:03","Nadd Hessa"
"سيح السلم","511","951","2025-10-31 12:00:03","Saih Alsalam"
"مجمع دبي للاستثمار الاول","458","598","2025-10-31 12:00:03","Dubai Investment Park First"
"ام هرير","293","0","2025-10-31 12:00:03","Umm Hurair"
"مرغم","295","841","2025-10-31 12:00:03","Margham"
"وادي العمردي","401","271","2025-10-31 12:00:03","Wadi Al Amardi"
"القصيص الصناعيه الثالثه","321","246","2025-10-31 12:00:03","Al Qusais Industrial Third"
"برج خليفة","390","345","2025-10-31 12:00:03","Burj Khalifa"
"مجمع دبي للاستثمار الثاني","459","597","2025-10-31 12:00:03","Dubai Investment Park Second"
"اليفره 4","529","919","2025-10-31 12:00:03","Al Yufrah 4"
"البحارنه","272","0","2025-10-31 12:00:03","Al Baharna"
"زعبيل الثانيه","332","337","2025-10-31 12:00:03","Zaabeel Second"
"مدينة هند 3","504","913","2025-10-31 12:00:03","Madinat Hind 3"
"ند الشبا الرابعه","406","617","2025-10-31 12:00:03","Nad Al Shiba Fourth"
"اليلايس 4","509","924","2025-10-31 12:00:03","Al Yelayiss 4"
"سيح شعيله","517","978","2025-10-31 12:00:03","Saih Shuaelah"
"الجافليه","328","323","2025-10-31 12:00:03","Al Jafliya"
"وادي الصفا 3","465","645","2025-10-31 12:00:03","Wadi Al Safa 3"
"القصيص الصناعيه الاولى","363","242","2025-10-31 12:00:03","Al Qusais Industrial First"
"جزر الكون","439","888","2025-10-31 12:00:03","Universe Islands"
"ورسان الثانيه","344","622","2025-10-31 12:00:03","Al Warsan Second"
"الثنيه الثانية","433","384","2025-10-31 12:00:03","Al Thanyah Second"
"المرموم الثالثة","461","0","2025-10-31 12:00:03","Almarmum Third"
"النخل","377","0","2025-10-31 12:00:03","Al-Nakhal"
"نخلة جميرا","410","381","2025-10-31 12:00:03","Palm Jumeirah"
"الخيران","437","412","2025-10-31 12:00:03","Al Kheeran"
"الشندغه","324","311","2025-10-31 12:00:03","Shandagha"
"اليفره 3","528","918","2025-10-31 12:00:03","Al Yufrah 3"
"الخيران الأولى","447","415","2025-10-31 12:00:03","Al Khairan First"
"حصيان الثانية","481","512","2025-10-31 12:00:03","Hessyan Second"
"البدع","276","333","2025-10-31 12:00:03","Al Bada"
"سوق المخايطه","260","0","2025-10-31 12:00:03","Al-Souq Al-Muqayatah"
"العوير","423","0","2025-10-31 12:00:03","Al-Aweer"
"عود المطينه","381","0","2025-10-31 12:00:03","Oud Al Muteena"
"السوق الكبير - ديرة","250","0","2025-10-31 12:00:03","Al-Souq Al Kabeer (Deira)"
"القصيص الصناعيه الرابعه","322","247","2025-10-31 12:00:03","Al Qusais Industrial Fourth"
"النهده الاولى","355","231","2025-10-31 12:00:03","Al Nahda First"
"ابو هيل","230","126","2025-10-31 12:00:03","Abu Hail"
"زعبيل شرق","286","0","2025-10-31 12:00:03","Zabeel East"
"جميرا الثانيه","375","342","2025-10-31 12:00:03","Jumeirah Second"
"حدائق الشيخ محمد بن راشد","482","631","2025-10-31 12:00:03","Hadaeq Sheikh Mohammed Bin Rashid"
"مرسى دبي","330","392","2025-10-31 12:00:03","Marsa Dubai"
"نايف شمال","418","0","2025-10-31 12:00:03","Naif North"
"المرموم الاولى","460","0","2025-10-31 12:00:03","Almarmum First"
"الحبيه الرابعة","435","682","2025-10-31 12:00:03","Al Hebiah Fourth"
"ام الشيف","374","367","2025-10-31 12:00:03","Um Al Sheif"
"الرويه","296","900","2025-10-31 12:00:03","Al Ruwayyah"
"حتا","525","891","2025-10-31 12:00:03","Hatta"
"المزهر","380","0","2025-10-31 12:00:03","Al Mizhar"
"الرقه شرق","252","0","2025-10-31 12:00:03","Al-Riqqa East"
"الحبية الثالثة","523","676","2025-10-31 12:00:03","Al Hebiah Third"
"المناره","315","363","2025-10-31 12:00:03","Al Manara"
"جبل علي الثالثة","476","593","2025-10-31 12:00:03","Jabal Ali Third"
"محيصنه الثانيه","360","264","2025-10-31 12:00:03","Muhaisanah Second"
"معيصم الأول","485","685","2025-10-31 12:00:03","Me'Aisem First"
"جميرا الثالثه","318","352","2025-10-31 12:00:03","Jumeirah Third"
"حفير","521","991","2025-10-31 12:00:03","Hafair"
"نخلي","487","724","2025-10-31 12:00:03","Anakhali"
"اليفره 1","469","915","2025-10-31 12:00:03","Al Yufrah 1"
"الروية الثانية","493","813","2025-10-31 12:00:03","Al Rowaiyah Second"
"راس الخور الصناعيه الثالثه","342","614","2025-10-31 12:00:03","Ras Al Khor Industrial Third"
"الثنيه الرابعة","352","394","2025-10-31 12:00:03","Al Thanayah Fourth"
"طوى الفقع","407","0","2025-10-31 12:00:03","Tawi Alfuqa"
"الضغايه","238","113","2025-10-31 12:00:03","Al Dhagaya"
"البرشاء الثالثه","369","375","2025-10-31 12:00:03","Al Barsha Third"
"العوير الثانية","399","721","2025-10-31 12:00:03","Al Aweer Second"
"ام المؤمنين","498","835","2025-10-31 12:00:03","Um Almoameneen"
"الثنيه الثالثة","351","388","2025-10-31 12:00:03","Al Thanyah Third"
"المزهر الرابعة","402","265","2025-10-31 12:00:03","AL MIZHAR FOURTH"
"ام السلي","500","847","2025-10-31 12:00:03","Um Esalay"
"جميرا","383","0","2025-10-31 12:00:03","Jumeirah"
"الواجهة البحرية","446","502","2025-10-31 12:00:03","Al Wajehah Al Bhariyah"
"اليفره 2","449","916","2025-10-31 12:00:03","Al Yufrah 2"
"وادي الصفا 2","464","643","2025-10-31 12:00:03","Wadi Al Safa 2"
"لهباب الثانية","497","831","2025-10-31 12:00:03","Lehbab Second"
"المزهر الثانيه","394","263","2025-10-31 12:00:03","Al Mizhar Second"
"برج نهار","236","0","2025-10-31 12:00:03","Burj Nahar"
"مدينة هند 2","503","912","2025-10-31 12:00:03","Madinat Hind 2"
"السبخه","237","115","2025-10-31 12:00:03","Al Sabkha"
"المزهر الاولى","316","262","2025-10-31 12:00:03","Al Mizhar First"
"حصيان الاولى","522","511","2025-10-31 12:00:03","Hessyan First"
"عود ميثا","388","319","2025-10-31 12:00:03","Oud Metha"
"الكرامه","271","318","2025-10-31 12:00:03","Al Karama"
"ورسان الثالثه","345","811","2025-10-31 12:00:03","Al Warsan Third"
"نايف جنوب","251","0","2025-10-31 12:00:03","Naif South"
"المصلى - ديرة","259","0","2025-10-31 12:00:03","Al-Musalla (Deira)"
"سيح شعيب 4","455","533","2025-10-31 12:00:03","Saih Shuaib 4"
"الصفا الاولى","313","353","2025-10-31 12:00:03","Al Saffa First"
"عيال ناصر","235","116","2025-10-31 12:00:03","Eyal Nasser"
"البرشاء جنوب الرابعة","441","681","2025-10-31 12:00:03","Al Barsha South Fourth"
"الراس","242","112","2025-10-31 12:00:03","Al Ras"
"الباغ","289","0","2025-10-31 12:00:03","Al Baagh"
"رقعه مسالى","408","0","2025-10-31 12:00:03","Riqat Masali"
"الوحيده","382","132","2025-10-31 12:00:03","Al Waheda"
"مقطرة","518","981","2025-10-31 12:00:03","Mugatrah"
"المستشفى غرب","421","0","2025-10-31 12:00:03","Al-Mustashfa West"
"ام سقيم الاولى","303","356","2025-10-31 12:00:03","Um Suqaim First"
"النهده الثانيه","301","241","2025-10-31 12:00:03","Al Nahda Second"
"سيح شعيب 3","454","532","2025-10-31 12:00:03","Saih Shuaib 3"
"الورقاء الرابعه","299","424","2025-10-31 12:00:03","Al Warqa Fourth"
"الروله","386","0","2025-10-31 12:00:03","Al-Raulah"
"البرشاء جنوب الثالثة","409","673","2025-10-31 12:00:03","Al Barshaa South Third"
"المريال","490","735","2025-10-31 12:00:03","Al Meryal"
"بوكدرة","405","611","2025-10-31 12:00:03","Bukadra"
"جزر العالم","413","303","2025-10-31 12:00:03","World Islands"
"مدينة لطيفة","513","961","2025-10-31 12:00:03","Madinat Latifa"
"محيصنه شمال","265","0","2025-10-31 12:00:03","Al-Muhaisnah North"
"البرشاء الثانيه","393","376","2025-10-31 12:00:03","Al Barsha Second"
"المرقبات","244","124","2025-10-31 12:00:03","Al Murqabat"
"الصفوح الثانيه","371","382","2025-10-31 12:00:03","Al Safouh Second"
"زريبه دوييه","280","0","2025-10-31 12:00:03","Zareeba Duviya"
"وادي الصفا 7","463","665","2025-10-31 12:00:03","Wadi Al Safa 7"
"المركز التجارى الثانيه","329","336","2025-10-31 12:00:03","Trade Center Second"
"الروية الأولى","492","812","2025-10-31 12:00:03","Al Rowaiyah First"
"العوير الأولى","398","711","2025-10-31 12:00:03","Al Aweer First"
"اليلايس 3","508","923","2025-10-31 12:00:03","Al Yelayiss 3"
"هور العنز","233","127","2025-10-31 12:00:03","Hor Al Anz"
"المرر الجديد","246","0","2025-10-31 12:00:03","Al-Murar Jadeed"
"الثنيه الأولى","443","383","2025-10-31 12:00:03","Al Thanyah First"
"المرر القديم","245","0","2025-10-31 12:00:03","Al-Murar Qadeem"
"مشرف","420","0","2025-10-31 12:00:03","Mushrif"
"محيصنة الخامسة","475","267","2025-10-31 12:00:03","Muhaisanah Fifth"
"الكفاف","366","324","2025-10-31 12:00:03","Al Kifaf"
"سيح شعيب 2","453","531","2025-10-31 12:00:03","Saih Shuaib 2"
"البرشاء","292","0","2025-10-31 12:00:03","Al Barsha"
"سيح الدحل","515","971","2025-10-31 12:00:03","Saih Aldahal"
"الجداف","334","326","2025-10-31 12:00:03","Al Jadaf"
"الطوار","256","0","2025-10-31 12:00:03","Al-Tawar"
"الطوار الاولى","358","226","2025-10-31 12:00:03","Al Twar First"
"الطوار الرابعة","306","234","2025-10-31 12:00:03","Al Twar Fourth"
"الصفا","270","0","2025-10-31 12:00:03","Al Safaa"
"منخول","278","317","2025-10-31 12:00:03","Mankhool"
"البرشاء الاولى","368","373","2025-10-31 12:00:03","Al Barsha First"
"جبل علي الأولى","445","591","2025-10-31 12:00:03","Jabal Ali First"
"الفقع","470","945","2025-10-31 12:00:03","Al Faga'A"
"الطي","438","284","2025-10-31 12:00:03","Al Ttay"
