procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
"Sell","null","اسبكت تاور","1261650","Commercial","1","11","42","188.31","بيع","2011-07-28","null","ASPECT TOWER","تجاري","390","3","Business Bay Metro Station","1","6699.86","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","2","1","Sales","مول دبي","1-11-2011-12698","null","null","Unit","Business Bay","Burj Khalifa","null","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Office","null","null","العقارات القائمة","مكتب","الخليج التجاري"
"Mortgage Registration","null","null","18000000","Commercial","1","13","null","3716.1","تسجيل رهن","2016-10-13","null","null","تجاري","264","1","Rashidiya Metro Station","0","4843.79","رهون","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Mortgages","سيتي سنتر مردف","2-13-2016-7533","null","null","Land","null","Dubai International Airport","null","Nad Al Hamar","أرض","2","2026-02-26 10:09:51","مطار دبي الدولي","ند الحمر","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Delayed Sell","Mudon-Phase 2","null","2750000","Residential","1","41","null","312","بيع مبدئى","2014-10-20","مدن-المرحله الثانيه (2)","null","سكني","523","1","null","0","8814.1","مبايعات","null","0","null","1","1","Sales","null","1-41-2014-5248","null","null","Land","Mudon","null","null","Al Hebiah Third","أرض","1","2026-02-26 10:09:51","null","الحبية الثالثة","Existing Properties","null","1521","null","العقارات القائمة","null","مدن"
"Delayed Sell","RUKAN","روكان - مبنى بي","508000","Residential","1","41","60","43.58","بيع مبدئى","2025-06-09","ركان","Rukan - Building B","سكني","463","3","null","1","11656.72","مبايعات","null","0","null","1","1","Sales","null","1-41-2025-17535","استوديو","null","Unit","Rukan","null","Studio","Wadi Al Safa 7","وحدة","1","2026-02-26 10:09:51","null","وادي الصفا 7","Existing Properties","Flat","1570","null","العقارات القائمة","شقه سكنيه","ركان"
"Mortgage Pre-Registration","MANHATTAN","ذا مانهاتن","622797","Residential","0","105","60","91.7","تسجيل رهن - تسجيل مبدئى","2009-06-04","منهاتن","The Manhattan","سكني","441","3","Dubai Internet City","1","6791.68","رهون","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Mortgages","مول الإمارات","2-105-2007-518","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","178","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Sell - Pre registration","LIME LIGHT TWIN TOWERS","CHAPAL THE DESTINY B","418469","Residential","0","102","60","50.38","بيع - تسجيل مبدئى","2009-05-25","لايم لايت توين تاور","CHAPAL THE DESTINY B","سكني","435","3","Nakheel Metro Station","1","8306.25","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2007-3558","استوديو","null","Unit","Dubai Sports City","Sports City Swimming Academy","Studio","Al Hebiah Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الحبيه الرابعة","Off-Plan Properties","Flat","558","null","على الخارطة","شقه سكنيه","مدينة دبي الرياضية"
"Sell","LA RIVIERA AZURE","لاريفيرا ازورى","910000","Residential","1","11","60","82.13","بيع","2023-11-16","لاريفيرا ازورى","LA RIVIERA AZURE","سكني","441","3","Dubai Internet City","1","11080","مبايعات","Marina Mall","0","مدينة دبي للإنترنت","1","1","Sales","مارينا مول","1-11-2023-37410","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Flat","2268","null","العقارات القائمة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","null","دايموند بزنس سنتر 2","618972","Commercial","1","11","23","47.92","بيع","2023-01-23","null","DIAMOND BUSINESS CENTER 2","تجاري","409","3","Sharaf Dg Metro Station","1","12916.78","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","1","1","Sales","مول الإمارات","1-11-2023-1923","محل","null","Unit","Arjan","Motor City","Shop","Al Barshaa South Third","وحدة","1","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثالثة","Existing Properties","Shop","null","null","العقارات القائمة","محل","أرجان"
"Delayed Sell","Mudon-Phase 2","null","3904000","Residential","1","41","null","648.42","بيع مبدئى","2015-05-14","مدن-المرحله الثانيه (2)","null","سكني","523","1","null","0","6020.79","مبايعات","null","0","null","1","1","Sales","null","1-41-2015-2559","null","null","Land","Mudon","null","null","Al Hebiah Third","أرض","1","2026-02-26 10:09:51","null","الحبية الثالثة","Existing Properties","null","1521","null","العقارات القائمة","null","مدن"
"Mortgage Registration","null","null","1500000","Residential","1","13","4","237.92","تسجيل رهن","2021-09-27","null","null","سكني","445","4","Ibn Battuta Metro Station","0","6304.64","رهون","Ibn-e-Battuta Mall","0","محطة مترو ابن بطوطة","1","1","Mortgages","ابن بطوطة مول","2-13-2021-12149","أربع غرف","null","Villa","Al Furjan","Sports City Swimming Academy","4 B/R","Jabal Ali First","فيلا","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","جبل علي الأولى","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","الفرجان"
"Lease to Own Registration","null","ريزدنس_ ايست بوديوم","4682933","Residential","1","110","60","253.53","تسجيل إيجارة تنتهى بالتملك","2013-01-22","null","Residences_East Poduim ","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","18470.92","مبايعات","Dubai Mall","4","محطة مترو بوج خليفة دبي مول","2","2","Sales","مول دبي","1-110-2013-53","غرفتين","null","Unit","DownTown Dubai","Downtown Dubai","2 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","برج خليفة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Lease to Own Registration","null","null","2643750","Commercial","1","110","null","933.03","تسجيل إيجارة تنتهى بالتملك","2007-03-08","null","null","تجاري","350","4","Damac Properties","0","2833.51","رهون","Marina Mall","2","عقارات داماك","2","2","Mortgages","مارينا مول","2-110-2007-52","null","2833.51","Villa","Jumeirah Islands","Sports City Swimming Academy","null","Al Thanyah Fifth","فيلا","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Existing Properties","null","null","2643750","العقارات القائمة","null","جزر جميرا"
"Delayed Sell","LAGO VISTA","لاجو فيستا-بي","1358000","Residential","1","41","60","130.16","بيع مبدئى","2013-10-09","لاغو فيستا","LAGO VISTA-B","سكني","485","3","Damac Properties","0","10433.31","مبايعات","Marina Mall","0","عقارات داماك","1","1","Sales","مارينا مول","1-41-2013-2834","غرفتين","null","Unit","International Media Production Zone","Sports City Swimming Academy","2 B/R","Me'Aisem First","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","معيصم الأول","Existing Properties","Flat","439","null","العقارات القائمة","شقه سكنيه","المنطقة العالمية للإنتاج الإعلامي"
"Mortgage Registration","WESTAR LES CASTELETS","null","2000000","Residential","1","13","4","156","تسجيل رهن","2015-06-18","ويستار ليس كاستلتس","null","سكني","441","4","Dubai Internet City","0","12820.51","رهون","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Mortgages","مول الإمارات","2-13-2015-4470","ثلاث غرف","null","Villa","Jumeirah Village Circle","Sports City Swimming Academy","3 B/R","Al Barsha South Fourth","فيلا","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Villa","1480","null","العقارات القائمة","فيلا","قرية جميرا الدائرية"
"Grant","null","برج ليك هوتيل - العنوان دون تاون","4267500","Hospitality ","1","9","101","160.91","هبه","2023-01-17","null","Burj Lake Hotel - The Address DownTown","ضيافة","390","3","Buj Khalifa Dubai Mall Metro Station","1","26521.04","هبات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Gifts","مول دبي","3-9-2023-201","غرفتين","null","Unit","DownTown Dubai","Downtown Dubai","2 B/R","Burj Khalifa","وحدة","3","2026-02-26 10:09:51","وسط مدينة دبي","برج خليفة","Existing Properties","Hotel Apartment","null","null","العقارات القائمة","شقة فندقية","داون تاون دبي"
"Sell - Pre registration","O 2","أو تو ","487663","Residential","0","102","60","40.21","بيع - تسجيل مبدئى","2018-04-10"," او تو ","O2","سكني","441","3","Nakheel Metro Station","1","12127.9","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2018-4846","استوديو","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","Studio","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","1954","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Sell - Pre registration","AZIZI NEILA","عزيزي نايلا","970920","Hospitality ","0","102","101","76.28","بيع - تسجيل مبدئى","2025-03-21","عزيزى نايلا","AZIZI NEILA","ضيافة","445","3","null","1","12728.37","مبايعات","null","0","null","1","1","Sales","null","1-102-2025-23439","غرفة","null","Unit","Al Furjan","null","1 B/R","Jabal Ali First","وحدة","1","2026-02-26 10:09:51","null","جبل علي الأولى","Off-Plan Properties","Hotel Apartment","3203","null","على الخارطة","شقة فندقية","الفرجان"
"Sell","BLVD HEIGHTS","بوليفارد هايتس T1","2800000","Residential","1","11","60","161.7","بيع","2022-04-04","BLVD هايتس","Blvd Heights T1","سكني","390","3","Business Bay Metro Station","1","17316.02","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Sales","مول دبي","1-11-2022-6978","غرفتين","null","Unit","DownTown Dubai","Burj Khalifa","2 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","1561","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell","null","لينكس ويست تي 1","2000000","Residential","1","11","60","122.17","بيع","2015-02-09","null","LINKS WEST T1","سكني","351","3","Nakheel Metro Station","0","16370.63","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-11-2015-2541","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Delayed Sell","DAMAC HILLS-BEL AIR","null","2860000","Residential","1","41","null","156","بيع مبدئى","2025-01-16","داماك هيلز-بلير","null","سكني","523","1","null","0","18333.33","مبايعات","null","0","null","2","1","Sales","null","1-41-2025-3915","null","null","Land","DAMAC HILLS","null","null","Al Hebiah Third","أرض","1","2026-02-26 10:09:51","null","الحبية الثالثة","Existing Properties","null","2236","null","العقارات القائمة","null","داماك هيليز"
"Sell","null","جميرا باي تاور اكس 2","1258919","Commercial","1","11","23","80.66","بيع","2016-07-18","null","JUMAIRAH BAY TOWER-X2","تجاري","350","3","Damac Properties","1","15607.72","مبايعات","Marina Mall","0","عقارات داماك","1","2","Sales","مارينا مول","1-11-2016-8347","محل","null","Unit","Jumeirah Lakes Towers","Burj Al Arab","Shop","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الخامسة","Existing Properties","Shop","null","null","العقارات القائمة","محل"," ابراج بحيرات الجميرا"
"Mortgage Registration","null","null","3000000","Commercial","1","13","null","612.42","تسجيل رهن","2009-05-20","null","null","تجاري","352","4","Damac Properties","0","4898.6","رهون","Marina Mall","0","عقارات داماك","1","2","Mortgages","مارينا مول","2-13-2009-849","null","null","Villa","Meadows 5","Sports City Swimming Academy","null","Al Thanayah Fourth","فيلا","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الرابعة","Existing Properties","null","null","null","العقارات القائمة","null","السهول 5"
"Sell - Pre registration","330 Riverside Crescent","330 ريفرسايد كريسنت","2630834","Residential","0","102","60","105.35","بيع - تسجيل مبدئى","2024-01-30","ريفرسايد كريسنت 330","330 Riverside Crescent","سكني","405","3","null","1","24972.32","مبايعات","null","0","null","1","1","Sales","null","1-102-2024-5848","غرفتين","null","Unit","null","null","2 B/R","Bukadra","وحدة","1","2026-02-26 10:09:51","null","بوكدرة","Off-Plan Properties","Flat","2788","null","على الخارطة","شقه سكنيه","null"
"Mortgage Registration","null","null","2512500","Residential","1","13","4","367.9","تسجيل رهن","2017-04-17","null","null","سكني","434","4","null","0","6829.3","رهون","null","0","null","1","2","Mortgages","null","2-13-2017-3231","ثلاث غرف","null","Villa","Arabian Ranches - 1","Motor City","3 B/R","Wadi Al Safa 6","فيلا","2","2026-02-26 10:09:51","موتور سيتي","وادي الصفا 6","Existing Properties","Villa","null","null","العقارات القائمة","فيلا","المرابع العربية - 1"
"Sell","null","أي - 15","297687","Residential","1","11","60","60","بيع","2023-08-23","null","I-15","سكني","343","3","Rashidiya Metro Station","0","4961.45","مبايعات","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Sales","سيتي سنتر مردف","1-11-2023-26609","استوديو","null","Unit","International City Phase 1","null","Studio","Al Warsan First","وحدة","1","2026-02-26 10:09:51","null","ورسان الاولى","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","المدينة العالمية - المرحلة الاولى"
"Modify Mortgage","WESTBURRY TOWER","WESTBURRY TOWER 1","2620000","Commercial","1","14","42","135.09","تعديل رهن","2025-10-23","برج وستبيري","WESTBURRY TOWER 1","تجاري","526","3","Business Bay Metro Station","1","19394.48","رهون","Dubai Mall","0","محطة مترو الخليج التجاري","1","2","Mortgages","مول دبي","2-14-2025-1657","مكتب","null","Unit","Business Bay","Downtown Dubai","Office","Business Bay","وحدة","2","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Existing Properties","Office","1308","null","العقارات القائمة","مكتب","الخليج التجاري"
"Sell","SABA TOWER 2","سبا 2","1350000","Residential","1","11","60","86.27","بيع","2014-12-11"," سابا تاور 2","SABA 2","سكني","350","3","Damac Properties","1","15648.55","مبايعات","Marina Mall","0","عقارات داماك","1","1","Sales","مارينا مول","1-11-2014-26983","غرفة","null","Unit","Jumeirah Lakes Towers","Burj Al Arab","1 B/R","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الخامسة","Existing Properties","Flat","463","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell","null","null","1650000","Commercial","1","11","null","190.45","بيع","2012-04-02","null","null","تجاري","233","2","Abu Baker Al Siddique Metro Station","0","8663.69","مبايعات","null","0","محطة مترو أبو بكر الصديق","1","1","Sales","null","1-11-2012-5622","null","null","Building","null","Dubai International Airport","null","Hor Al Anz","مبنى","1","2026-02-26 10:09:51","مطار دبي الدولي","هور العنز","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell - Pre registration","WINDSOR HOUSE II","ويندسور هاوس اا - تاور ايه","1289828","Residential","0","102","60","72.69","بيع - تسجيل مبدئى","2026-02-24","II ويندسور هاوس","WINDSOR HOUSE II - TOWER A","سكني","462","3","null","1","17744.23","مبايعات","null","0","null","2","1","Sales","null","1-102-2026-19705","غرفة","null","Unit","Dubai South Residential District","null","1 B/R","Madinat Al Mataar","وحدة","1","2026-02-26 10:09:51","null","مدينة المطار","Off-Plan Properties","Flat","4300","null","على الخارطة","شقه سكنيه","المدينة السكنية بدبي الجنوب"
"Sell - Pre registration","Azizi  Riviera 34  ","عزيزي ريفييرا 34 	","1208700","Residential","0","102","60","49.37","بيع - تسجيل مبدئى","2023-10-27","عزيزي ريفييرا 34","Azizi Riviera 34","سكني","412","3","Buj Khalifa Dubai Mall Metro Station","1","24482.48","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-102-2023-57138","غرفة","null","Unit","Meydan One Community","Downtown Dubai","1 B/R","Al Merkadh","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","المركاض","Off-Plan Properties","Flat","2043","null","على الخارطة","شقه سكنيه","مجمع ميدان ون"
"Delayed Mortgage","GardeniaTownHomes @ wasl gate","null","1462500","Residential","1","190","null","307","رهن بيع مبدئى","2020-03-23","غاردينيا تاون هومز في وصل غيت","null","سكني","445","4","ENERGY Metro Station","0","4763.84","رهون","Ibn-e-Battuta Mall","0","محطة مترو الطاقة","1","1","Mortgages","ابن بطوطة مول","2-190-2020-315","null","null","Villa","Wasl Gate","Expo 2020 Site","null","Jabal Ali First","فيلا","2","2026-02-26 10:09:51","موقع إكسبو 2020","جبل علي الأولى","Existing Properties","null","2075","null","العقارات القائمة","null","وصل جيت"
"Sell","null","null","1920000","Residential","1","11","null","334.45","بيع","2014-06-02","null","null","سكني","300","4","Rashidiya Metro Station","0","5740.77","مبايعات","City Centre Mirdif","0","محطة مترو الراشدية","1","2","Sales","سيتي سنتر مردف","1-11-2014-14139","null","null","Villa","null","Dubai International Airport","null","Al Rashidiya","فيلا","1","2026-02-26 10:09:51","مطار دبي الدولي","الراشديه","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Grant Pre-Registration","Jomana","جومانا 3","11999369","Residential","0","120","60","317.51","هبه - تسجيل مبدئى","2026-02-11","جومانه","Jomana 3","سكني","370","3","null","1","37792.1","هبات","null","0","null","1","1","Gifts","null","3-120-2026-124","أربع غرف","null","Unit","null","null","4 B/R","Um Suqaim Third","وحدة","3","2026-02-26 10:09:51","null","ام سقيم الثالثه","Off-Plan Properties","Flat","2582","null","على الخارطة","شقه سكنيه","null"
"Mortgage Registration","BURJ KHALIFA TOWERS","برج خليفة","6200000","Residential","1","13","60","165.18","تسجيل رهن","2014-02-20","أبراج برج خليفة","Burj Khalifa","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","37534.81","رهون","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Mortgages","مول دبي","2-13-2014-1439","غرفتين","null","Unit","DownTown Dubai","Burj Khalifa","2 B/R","Burj Khalifa","وحدة","2","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","1462","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell","DAMAC HILLS -  RICHMOND ","null","2040000","Residential","1","11","null","261.68","بيع","2021-09-21","دماك هيلز - ريتشموند","null","سكني","523","4","null","0","7795.78","مبايعات","null","0","null","1","1","Sales","null","1-11-2021-16548","null","null","Villa","DAMAC HILLS","Motor City","null","Al Hebiah Third","فيلا","1","2026-02-26 10:09:51","موتور سيتي","الحبية الثالثة","Existing Properties","null","1395","null","العقارات القائمة","null","داماك هيليز"
"Sell","null","null","747000","Residential","1","11","null","555","بيع","2008-03-19","null","null","سكني","296","1","null","0","1345.95","مبايعات","null","0","null","1","1","Sales","null","1-11-2008-1245","null","null","Land","The Villa","null","null","Al Ruwayyah","أرض","1","2026-02-26 10:09:51","null","الرويه","Existing Properties","null","null","null","العقارات القائمة","null","ذا فيلا"
"Delayed Sell","SUNRISE LEGEND","صن رايز ليجيند","525000","Residential","1","41","60","39.32","بيع مبدئى","2021-12-13","صنرايز ليجيند","SUNRISE LEGEND","سكني","409","3","Sharaf Dg Metro Station","1","13351.98","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","1","1","Sales","مول الإمارات","1-41-2021-13577","استوديو","null","Unit","Arjan","Motor City","Studio","Al Barshaa South Third","وحدة","1","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثالثة","Existing Properties","Flat","2173","null","العقارات القائمة","شقه سكنيه","أرجان"
"Sell","null","شمس 1","1995000","Residential","1","11","60","127.81","بيع","2014-02-17","null","Shams 1","سكني","330","3","Jumeirah Beach Residency","1","15609.11","مبايعات","Marina Mall","0","مساكن شاطئ جميرا","1","1","Sales","مارينا مول","1-11-2014-4336","غرفتين","null","Unit","Jumeriah Beach Residence  - JBR","Burj Al Arab","2 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","برج العرب","مرسى دبي","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","جميرا بيتش ريزيدنس  - الجيه بي آر "
"Sell - Pre registration","Peninsula Five","بينينسولا فايف","2760240","Residential","0","102","60","121.24","بيع - تسجيل مبدئى","2022-06-27","بينينسولا فايف","Peninsula Five - 3","سكني","526","3","Business Bay Metro Station","1","22766.74","مبايعات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Sales","مول دبي","1-102-2022-17241","غرفتين","null","Unit","Business Bay","Downtown Dubai","2 B/R","Business Bay","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Off-Plan Properties","Flat","2344","null","على الخارطة","شقه سكنيه","الخليج التجاري"
"Mortgage Registration","Canal Front Residences-CF3&CF4","قنال فرونت 3","128000000","Residential","1","13","60","164.45","تسجيل رهن","2024-12-16","CF3&CF4-قنال فرونت رزيدنسز","CF 3","سكني","364","3","Business Bay Metro Station","1","778352.08","رهون","Dubai Mall","0","محطة مترو الخليج التجاري","1","54","Mortgages","مول دبي","2-13-2024-30368","غرفتين","null","Unit","Dubai Water Canal","Burj Khalifa","2 B/R","Al Wasl","وحدة","2","2026-02-26 10:09:51","برج خليفة","الوصل","Existing Properties","Flat","2333","null","العقارات القائمة","شقه سكنيه","قناة دبي المائية"
"Sell Development","null","يونيفيرستي فيو بي","520000","Residential","1","45","60","79.23","بيع حق منفعة","2024-07-17","null","UNIVERSITY VIEW  B","سكني","285","3","null","1","6563.17","مبايعات","null","0","null","1","1","Sales","null","1-45-2024-919","غرفة","null","Unit","Silicon Oasis","null","1 B/R","Nad Al Shiba","وحدة","1","2026-02-26 10:09:51","null","ند الشبا","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","واحة السيليكون"
"Delayed Sell","DAMAC LAGOONS - MYKONOS","null","2680000","Residential","1","41","null","143.93","بيع مبدئى","2023-07-14","داماك لاجونز - ميكونوس","null","سكني","451","1","null","0","18620.16","مبايعات","null","0","null","1","1","Sales","null","1-41-2023-13561","null","null","Land","null","null","null","Al Hebiah Fifth","أرض","1","2026-02-26 10:09:51","null","الحبيه الخامسة","Existing Properties","null","2487","null","العقارات القائمة","null","null"
"Modify Mortgage","null","null","30000000","Commercial","1","14","null","1114.84","تعديل رهن","2012-07-25","null","null","تجاري","368","2","Sharaf Dg Metro Station","0","26909.69","رهون","Mall of the Emirates","0","محطة مترو شرف دي جي","1","4","Mortgages","مول الإمارات","2-14-2012-564","null","null","Building","null","Burj Al Arab","null","Al Barsha First","مبنى","2","2026-02-26 10:09:51","برج العرب","البرشاء الاولى","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell - Pre registration","TUSCAN RESIDENCE 1","تاسكون ريزيدنس 1 -  فلورانس 1","832000","Residential","0","102","60","93.65","بيع - تسجيل مبدئى","2009-05-29","توسكان ريزيدنس 1","TUSCAN RESIDENCES 1 - FLORENCE 1","سكني","441","3","Dubai Internet City","1","8884.14","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","2","1","Sales","مول الإمارات","1-102-2006-10998","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","419","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Mortgage Registration","null","ايست هايتس 2","4750000","Residential","1","13","60","586.5","تسجيل رهن","2022-02-22","null","EAST HEIGHTS 2","سكني","390","3","Business Bay Metro Station","1","8098.89","رهون","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Mortgages","مول دبي","2-13-2022-1977","أربع غرف","null","Unit","Business Bay","Burj Khalifa","4 B/R","Burj Khalifa","وحدة","2","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الخليج التجاري"
"Sell - Pre registration","BURJ VISTA","برج فيستا تاور 1","4095714","Residential","0","102","60","176.89","بيع - تسجيل مبدئى","2013-10-24","برج برج","BURJ VISTA Tower 1","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","23154.02","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-102-2013-9992","ثلاث غرف","null","Unit","DownTown Dubai","Burj Khalifa","3 B/R","Burj Khalifa","وحدة","1","2026-02-26 10:09:51","برج خليفة","برج خليفة","Off-Plan Properties","Flat","1340","null","على الخارطة","شقه سكنيه","داون تاون دبي"
"Mortgage Registration","Villa Lantana 1","null","4500000","Residential","1","13","null","403.28","تسجيل رهن","2025-08-28","فيلا لانتانا 1","null","سكني","414","4","Sharaf Dg Metro Station","0","11158.5","رهون","Mall of the Emirates","0","محطة مترو شرف دي جي","1","2","Mortgages","مول الإمارات","2-13-2025-24789","null","null","Villa","Dubai Science Park","Motor City","null","Al Barshaa South Second","فيلا","2","2026-02-26 10:09:51","موتور سيتي","البرشاء جنوب الثانية","Existing Properties","null","1526","null","العقارات القائمة","null","حديقة دبي للعلوم"
"Sell - Pre registration","Sobha Seahaven Tower B & C","شوبا سيهيفين - البرج ب","8496894","Residential","0","102","60","187.95","بيع - تسجيل مبدئى","2024-02-28","شوبا سيهيفين البرج ب و سي","SOBHA SEAHAVEN - TOWER B","سكني","330","3","null","1","45208.27","مبايعات","null","0","null","1","1","Sales","null","1-102-2024-12047","غرفتين","null","Unit","Dubai Harbour","null","2 B/R","Marsa Dubai","وحدة","1","2026-02-26 10:09:51","null","مرسى دبي","Off-Plan Properties","Flat","2762","null","على الخارطة","شقه سكنيه","دبي هاربر"
"Sell","Binghatti Canal","بن غاطي كانال","1650000","Residential","1","11","60","65.54","بيع","2024-05-28","بن غاطي كانال","Binghatti Canal","سكني","526","3","Buj Khalifa Dubai Mall Metro Station","1","25175.47","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-11-2024-18844","غرفة","null","Unit","Business Bay","Downtown Dubai","1 B/R","Business Bay","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Existing Properties","Flat","2366","null","العقارات القائمة","شقه سكنيه","الخليج التجاري"
"Sell","TAMANI ARTS OFFICES","Tamani Arts Office","495000","Commercial","1","11","42","29.2","بيع","2025-09-11","مكاتب تماني للفنون","Tamani Arts Office","تجاري","526","3","Buj Khalifa Dubai Mall Metro Station","1","16952.05","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-11-2025-37922","مكتب","null","Unit","Business Bay","Downtown Dubai","Office","Business Bay","وحدة","1","2026-02-26 10:09:51","وسط مدينة دبي","الخليج التجارى","Existing Properties","Office","22","null","العقارات القائمة","مكتب","الخليج التجاري"
