Quarter,الشهر,الربع السنوي,Description,Item_id2,HeaderField_Id,Title,العنوان,Quarter_Number,Month,Type,الوصف,Year,Value,Month_Number,Item_id,النوع
"First Quarter","فبراير","الربع الأول","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Investment Villa","إضافات وتعديلات","2010","435","2","6717","فلل إستثمارية"
"First Quarter","فبراير","الربع الأول","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Investment Villa","بناء جديد","2010","167984.3","2","6717","فلل إستثمارية"
"First Quarter","فبراير","الربع الأول","---","370479","8902","Number","العدد","1","February","Industrial Buildings","إضافات وتعديلات","2010","57","2","6718","مباني صناعية"
"First Quarter","فبراير","الربع الأول","---","370479","8903","Number","العدد","1","February","Industrial Buildings","بناء جديد","2010","11","2","6718","مباني صناعية"
"First Quarter","فبراير","الربع الأول","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Industrial Buildings","إضافات وتعديلات","2010","230547.7","2","6719","مباني صناعية"
"First Quarter","فبراير","الربع الأول","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Industrial Buildings","بناء جديد","2010","1380381.5","2","6719","مباني صناعية"
"First Quarter","فبراير","الربع الأول","---","370480","8902","Number","العدد","1","February","Public Buildings","إضافات وتعديلات","2010","71","2","6720","مباني عامة"
"First Quarter","فبراير","الربع الأول","---","370480","8903","Number","العدد","1","February","Public Buildings","بناء جديد","2010","23","2","6720","مباني عامة"
"First Quarter","فبراير","الربع الأول","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Public Buildings","إضافات وتعديلات","2010","211080","2","6721","مباني عامة"
"First Quarter","فبراير","الربع الأول","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Public Buildings","بناء جديد","2010","236166.3","2","6721","مباني عامة"
"First Quarter","فبراير","الربع الأول","---","370481","8902","Number","العدد","1","February","Multi-Storey Buildings","إضافات وتعديلات","2010","145","2","6722","مباني متعددة الطوابق"
"First Quarter","فبراير","الربع الأول","---","370481","8903","Number","العدد","1","February","Multi-Storey Buildings","بناء جديد","2010","13","2","6722","مباني متعددة الطوابق"
"First Quarter","فبراير","الربع الأول","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Multi-Storey Buildings","إضافات وتعديلات","2010","61606.3","2","6723","مباني متعددة الطوابق"
"First Quarter","فبراير","الربع الأول","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Multi-Storey Buildings","بناء جديد","2010","565147.7","2","6723","مباني متعددة الطوابق"
"First Quarter","فبراير","الربع الأول","---","370482","8902","Number","العدد","1","February","Floor Area Ratio Buildings","إضافات وتعديلات","2010","56","2","6724","مباني نسب طابقية"
"First Quarter","فبراير","الربع الأول","---","370482","8903","Number","العدد","1","February","Floor Area Ratio Buildings","بناء جديد","2010","8","2","6724","مباني نسب طابقية"
"First Quarter","فبراير","الربع الأول","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Floor Area Ratio Buildings","إضافات وتعديلات","2010","10636.8","2","6725","مباني نسب طابقية"
"First Quarter","فبراير","الربع الأول","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Floor Area Ratio Buildings","بناء جديد","2010","2008860","2","6725","مباني نسب طابقية"
"First Quarter","مارس","الربع الأول","---","370477","8902","Number","العدد","1","March","Private Villa","إضافات وتعديلات","2010","748","3","6714","فلل خاصة"
"First Quarter","مارس","الربع الأول","---","370477","8903","Number","العدد","1","March","Private Villa","بناء جديد","2010","248","3","6714","فلل خاصة"
"First Quarter","مارس","الربع الأول","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Private Villa","إضافات وتعديلات","2010","200904.6","3","6715","فلل خاصة"
"First Quarter","مارس","الربع الأول","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Private Villa","بناء جديد","2010","1468921.9","3","6715","فلل خاصة"
"First Quarter","مارس","الربع الأول","---","370478","8902","Number","العدد","1","March","Investment Villa","إضافات وتعديلات","2010","55","3","6716","فلل إستثمارية"
"First Quarter","مارس","الربع الأول","---","370478","8903","Number","العدد","1","March","Investment Villa","بناء جديد","2010","4","3","6716","فلل إستثمارية"
"First Quarter","مارس","الربع الأول","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Investment Villa","إضافات وتعديلات","2010","13345.4","3","6717","فلل إستثمارية"
"First Quarter","مارس","الربع الأول","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Investment Villa","بناء جديد","2010","1223083.4","3","6717","فلل إستثمارية"
"First Quarter","مارس","الربع الأول","---","370479","8902","Number","العدد","1","March","Industrial Buildings","إضافات وتعديلات","2010","66","3","6718","مباني صناعية"
"First Quarter","مارس","الربع الأول","---","370479","8903","Number","العدد","1","March","Industrial Buildings","بناء جديد","2010","7","3","6718","مباني صناعية"
"First Quarter","مارس","الربع الأول","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Industrial Buildings","إضافات وتعديلات","2010","122777.8","3","6719","مباني صناعية"
"First Quarter","مارس","الربع الأول","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Industrial Buildings","بناء جديد","2010","254344.7","3","6719","مباني صناعية"
"First Quarter","مارس","الربع الأول","---","370480","8902","Number","العدد","1","March","Public Buildings","إضافات وتعديلات","2010","79","3","6720","مباني عامة"
"First Quarter","مارس","الربع الأول","---","370480","8903","Number","العدد","1","March","Public Buildings","بناء جديد","2010","27","3","6720","مباني عامة"
"First Quarter","مارس","الربع الأول","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Public Buildings","إضافات وتعديلات","2010","204647.7","3","6721","مباني عامة"
"First Quarter","مارس","الربع الأول","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Public Buildings","بناء جديد","2010","194418.7","3","6721","مباني عامة"
"First Quarter","مارس","الربع الأول","---","370481","8902","Number","العدد","1","March","Multi-Storey Buildings","إضافات وتعديلات","2010","165","3","6722","مباني متعددة الطوابق"
"First Quarter","مارس","الربع الأول","---","370481","8903","Number","العدد","1","March","Multi-Storey Buildings","بناء جديد","2010","15","3","6722","مباني متعددة الطوابق"
"First Quarter","مارس","الربع الأول","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Multi-Storey Buildings","إضافات وتعديلات","2010","170337","3","6723","مباني متعددة الطوابق"
"First Quarter","مارس","الربع الأول","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Multi-Storey Buildings","بناء جديد","2010","1515426.9","3","6723","مباني متعددة الطوابق"
"First Quarter","مارس","الربع الأول","---","370482","8902","Number","العدد","1","March","Floor Area Ratio Buildings","إضافات وتعديلات","2010","51","3","6724","مباني نسب طابقية"
"First Quarter","مارس","الربع الأول","---","370482","8903","Number","العدد","1","March","Floor Area Ratio Buildings","بناء جديد","2010","7","3","6724","مباني نسب طابقية"
"First Quarter","مارس","الربع الأول","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","1","March","Floor Area Ratio Buildings","إضافات وتعديلات","2010","164549.1","3","6725","مباني نسب طابقية"
"First Quarter","مارس","الربع الأول","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","1","March","Floor Area Ratio Buildings","بناء جديد","2010","2172481.4","3","6725","مباني نسب طابقية"
"Second Quarter","أبريل","الربع الثاني","---","370477","8902","Number","العدد","2","April","Private Villa","إضافات وتعديلات","2010","684","4","6714","فلل خاصة"
"Second Quarter","أبريل","الربع الثاني","---","370477","8903","Number","العدد","2","April","Private Villa","بناء جديد","2010","275","4","6714","فلل خاصة"
"Second Quarter","أبريل","الربع الثاني","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Private Villa","إضافات وتعديلات","2010","287152.5","4","6715","فلل خاصة"
"Second Quarter","أبريل","الربع الثاني","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Private Villa","بناء جديد","2010","1545978.9","4","6715","فلل خاصة"
"Second Quarter","أبريل","الربع الثاني","---","370478","8902","Number","العدد","2","April","Investment Villa","إضافات وتعديلات","2010","50","4","6716","فلل إستثمارية"
"Second Quarter","أبريل","الربع الثاني","---","370478","8903","Number","العدد","2","April","Investment Villa","بناء جديد","2010","3","4","6716","فلل إستثمارية"
"Second Quarter","أبريل","الربع الثاني","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Investment Villa","إضافات وتعديلات","2010","-408.2","4","6717","فلل إستثمارية"
"Second Quarter","أبريل","الربع الثاني","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Investment Villa","بناء جديد","2010","27065.6","4","6717","فلل إستثمارية"
"Second Quarter","أبريل","الربع الثاني","---","370479","8902","Number","العدد","2","April","Industrial Buildings","إضافات وتعديلات","2010","70","4","6718","مباني صناعية"
"Second Quarter","أبريل","الربع الثاني","---","370479","8903","Number","العدد","2","April","Industrial Buildings","بناء جديد","2010","3","4","6718","مباني صناعية"
"Second Quarter","أبريل","الربع الثاني","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Industrial Buildings","إضافات وتعديلات","2010","241435.3","4","6719","مباني صناعية"
"Second Quarter","أبريل","الربع الثاني","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Industrial Buildings","بناء جديد","2010","177476.2","4","6719","مباني صناعية"
"Second Quarter","أبريل","الربع الثاني","---","370480","8902","Number","العدد","2","April","Public Buildings","إضافات وتعديلات","2010","64","4","6720","مباني عامة"
"Second Quarter","أبريل","الربع الثاني","---","370480","8903","Number","العدد","2","April","Public Buildings","بناء جديد","2010","22","4","6720","مباني عامة"
"Second Quarter","أبريل","الربع الثاني","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Public Buildings","إضافات وتعديلات","2010","-253857.6","4","6721","مباني عامة"
"Second Quarter","أبريل","الربع الثاني","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Public Buildings","بناء جديد","2010","338642.7","4","6721","مباني عامة"
"Second Quarter","أبريل","الربع الثاني","---","370481","8902","Number","العدد","2","April","Multi-Storey Buildings","إضافات وتعديلات","2010","138","4","6722","مباني متعددة الطوابق"
"Second Quarter","أبريل","الربع الثاني","---","370481","8903","Number","العدد","2","April","Multi-Storey Buildings","بناء جديد","2010","7","4","6722","مباني متعددة الطوابق"
"Second Quarter","أبريل","الربع الثاني","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Multi-Storey Buildings","إضافات وتعديلات","2010","18700.2","4","6723","مباني متعددة الطوابق"
"Second Quarter","أبريل","الربع الثاني","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Multi-Storey Buildings","بناء جديد","2010","1103675.5","4","6723","مباني متعددة الطوابق"
"Second Quarter","أبريل","الربع الثاني","---","370482","8902","Number","العدد","2","April","Floor Area Ratio Buildings","إضافات وتعديلات","2010","34","4","6724","مباني نسب طابقية"
"Second Quarter","أبريل","الربع الثاني","---","370482","8903","Number","العدد","2","April","Floor Area Ratio Buildings","بناء جديد","2010","3","4","6724","مباني نسب طابقية"
"Second Quarter","أبريل","الربع الثاني","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","2","April","Floor Area Ratio Buildings","إضافات وتعديلات","2010","4233.9","4","6725","مباني نسب طابقية"
"Second Quarter","أبريل","الربع الثاني","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","2","April","Floor Area Ratio Buildings","بناء جديد","2010","683603.3","4","6725","مباني نسب طابقية"
"Second Quarter","مايو","الربع الثاني","---","370477","8902","Number","العدد","2","May","Private Villa","إضافات وتعديلات","2010","781","5","6714","فلل خاصة"
"Second Quarter","مايو","الربع الثاني","---","370477","8903","Number","العدد","2","May","Private Villa","بناء جديد","2010","245","5","6714","فلل خاصة"
"Second Quarter","مايو","الربع الثاني","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Private Villa","إضافات وتعديلات","2010","234102.8","5","6715","فلل خاصة"
"Second Quarter","مايو","الربع الثاني","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Private Villa","بناء جديد","2010","1288519.1","5","6715","فلل خاصة"
"Second Quarter","مايو","الربع الثاني","---","370478","8902","Number","العدد","2","May","Investment Villa","إضافات وتعديلات","2010","25","5","6716","فلل إستثمارية"
"Second Quarter","مايو","الربع الثاني","---","370478","8903","Number","العدد","2","May","Investment Villa","بناء جديد","2010","8","5","6716","فلل إستثمارية"
"Second Quarter","مايو","الربع الثاني","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Investment Villa","إضافات وتعديلات","2010","124","5","6717","فلل إستثمارية"
"Second Quarter","مايو","الربع الثاني","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Investment Villa","بناء جديد","2010","111614.7","5","6717","فلل إستثمارية"
"Second Quarter","مايو","الربع الثاني","---","370479","8902","Number","العدد","2","May","Industrial Buildings","إضافات وتعديلات","2010","48","5","6718","مباني صناعية"
"Second Quarter","مايو","الربع الثاني","---","370479","8903","Number","العدد","2","May","Industrial Buildings","بناء جديد","2010","3","5","6718","مباني صناعية"
"Second Quarter","مايو","الربع الثاني","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Industrial Buildings","إضافات وتعديلات","2010","153897.5","5","6719","مباني صناعية"
"Second Quarter","مايو","الربع الثاني","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Industrial Buildings","بناء جديد","2010","166390.6","5","6719","مباني صناعية"
"Second Quarter","مايو","الربع الثاني","---","370480","8902","Number","العدد","2","May","Public Buildings","إضافات وتعديلات","2010","74","5","6720","مباني عامة"
"Second Quarter","مايو","الربع الثاني","---","370480","8903","Number","العدد","2","May","Public Buildings","بناء جديد","2010","15","5","6720","مباني عامة"
"Second Quarter","مايو","الربع الثاني","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Public Buildings","إضافات وتعديلات","2010","91550.1","5","6721","مباني عامة"
"Second Quarter","مايو","الربع الثاني","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Public Buildings","بناء جديد","2010","72897.8","5","6721","مباني عامة"
"Second Quarter","مايو","الربع الثاني","---","370481","8902","Number","العدد","2","May","Multi-Storey Buildings","إضافات وتعديلات","2010","132","5","6722","مباني متعددة الطوابق"
"Second Quarter","مايو","الربع الثاني","---","370481","8903","Number","العدد","2","May","Multi-Storey Buildings","بناء جديد","2010","12","5","6722","مباني متعددة الطوابق"
"Second Quarter","مايو","الربع الثاني","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Multi-Storey Buildings","إضافات وتعديلات","2010","-188540.3","5","6723","مباني متعددة الطوابق"
"Second Quarter","مايو","الربع الثاني","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Multi-Storey Buildings","بناء جديد","2010","385870.9","5","6723","مباني متعددة الطوابق"
"Second Quarter","مايو","الربع الثاني","---","370482","8902","Number","العدد","2","May","Floor Area Ratio Buildings","إضافات وتعديلات","2010","58","5","6724","مباني نسب طابقية"
"Second Quarter","مايو","الربع الثاني","---","370482","8903","Number","العدد","2","May","Floor Area Ratio Buildings","بناء جديد","2010","4","5","6724","مباني نسب طابقية"
"Second Quarter","مايو","الربع الثاني","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","2","May","Floor Area Ratio Buildings","إضافات وتعديلات","2010","196441.8","5","6725","مباني نسب طابقية"
"Second Quarter","مايو","الربع الثاني","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","2","May","Floor Area Ratio Buildings","بناء جديد","2010","329670.2","5","6725","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370477","8902","Number","العدد","2","June","Private Villa","إضافات وتعديلات","2010","767","6","6714","فلل خاصة"
"Second Quarter","يونيو","الربع الثاني","---","370477","8903","Number","العدد","2","June","Private Villa","بناء جديد","2010","180","6","6714","فلل خاصة"
"Second Quarter","يونيو","الربع الثاني","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Private Villa","إضافات وتعديلات","2010","204638.4","6","6715","فلل خاصة"
"Second Quarter","يونيو","الربع الثاني","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Private Villa","بناء جديد","2010","1060114.4","6","6715","فلل خاصة"
"Second Quarter","يونيو","الربع الثاني","---","370478","8902","Number","العدد","2","June","Investment Villa","إضافات وتعديلات","2010","26","6","6716","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370478","8903","Number","العدد","2","June","Investment Villa","بناء جديد","2010","6","6","6716","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Investment Villa","إضافات وتعديلات","2010","37","6","6717","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Investment Villa","بناء جديد","2010","182682.1","6","6717","فلل إستثمارية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8902","Number","العدد","2","June","Industrial Buildings","إضافات وتعديلات","2010","47","6","6718","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8903","Number","العدد","2","June","Industrial Buildings","بناء جديد","2010","4","6","6718","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Industrial Buildings","إضافات وتعديلات","2010","90334.2","6","6719","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Industrial Buildings","بناء جديد","2010","63359.7","6","6719","مباني صناعية"
"Second Quarter","يونيو","الربع الثاني","---","370480","8902","Number","العدد","2","June","Public Buildings","إضافات وتعديلات","2010","107","6","6720","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8903","Number","العدد","2","June","Public Buildings","بناء جديد","2010","12","6","6720","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Public Buildings","إضافات وتعديلات","2010","162794.3","6","6721","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Public Buildings","بناء جديد","2010","14822","6","6721","مباني عامة"
"Second Quarter","يونيو","الربع الثاني","---","370481","8902","Number","العدد","2","June","Multi-Storey Buildings","إضافات وتعديلات","2010","154","6","6722","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8903","Number","العدد","2","June","Multi-Storey Buildings","بناء جديد","2010","8","6","6722","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Multi-Storey Buildings","إضافات وتعديلات","2010","397206.2","6","6723","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Multi-Storey Buildings","بناء جديد","2010","214581.2","6","6723","مباني متعددة الطوابق"
"Second Quarter","يونيو","الربع الثاني","---","370482","8902","Number","العدد","2","June","Floor Area Ratio Buildings","إضافات وتعديلات","2010","56","6","6724","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8903","Number","العدد","2","June","Floor Area Ratio Buildings","بناء جديد","2010","5","6","6724","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","2","June","Floor Area Ratio Buildings","إضافات وتعديلات","2010","-73895.9","6","6725","مباني نسب طابقية"
"Second Quarter","يونيو","الربع الثاني","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","2","June","Floor Area Ratio Buildings","بناء جديد","2010","639174.9","6","6725","مباني نسب طابقية"
"Third Quarter","يوليو","الربع الثالث","---","370477","8902","Number","العدد","3","July","Private Villa","إضافات وتعديلات","2010","541","7","6714","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8903","Number","العدد","3","July","Private Villa","بناء جديد","2010","304","7","6714","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Private Villa","إضافات وتعديلات","2010","117617","7","6715","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Private Villa","بناء جديد","2010","1442237.5","7","6715","فلل خاصة"
"Third Quarter","يوليو","الربع الثالث","---","370478","8902","Number","العدد","3","July","Investment Villa","إضافات وتعديلات","2010","24","7","6716","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8903","Number","العدد","3","July","Investment Villa","بناء جديد","2010","4","7","6716","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Investment Villa","إضافات وتعديلات","2010","4669","7","6717","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Investment Villa","بناء جديد","2010","32734.5","7","6717","فلل إستثمارية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8902","Number","العدد","3","July","Industrial Buildings","إضافات وتعديلات","2010","59","7","6718","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8903","Number","العدد","3","July","Industrial Buildings","بناء جديد","2010","3","7","6718","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Industrial Buildings","إضافات وتعديلات","2010","92584.6","7","6719","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Industrial Buildings","بناء جديد","2010","156385.2","7","6719","مباني صناعية"
"Third Quarter","يوليو","الربع الثالث","---","370480","8902","Number","العدد","3","July","Public Buildings","إضافات وتعديلات","2010","86","7","6720","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8903","Number","العدد","3","July","Public Buildings","بناء جديد","2010","18","7","6720","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","3","July","Public Buildings","إضافات وتعديلات","2010","701085.3","7","6721","مباني عامة"
"Third Quarter","يوليو","الربع الثالث","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","3","July","Public Buildings","بناء جديد","2010","164928.5","7","6721","مباني عامة"
