zoning_authority_ar,project_status,developer_name,master_developer_number,project_type_ar,project_classification_ar,area_id,project_name,project_end_date,escrow_agent_name,no_of_buildings,project_id,project_status_ar,developer_number,developer_id,project_start_date,project_type_id,no_of_lands,master_project_en,no_of_units,no_of_villas,project_classification_id,area_name_en,property_id,cancellation_date,zoning_authority_id,percent_completed,master_developer_id,escrow_agent_id,area_name_ar,project_number,project_description_en,master_developer_name,zoning_authority_en,completion_date,master_project_ar,project_description_ar
"بلدية دبي","FINISHED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","مباني","412","عزيزي ريفيرا 40","2024-05-16","بنك ابوظبى التجارى","1","221705794","منجز","1002","12595870","2018-12-12","1","0","Meydan One Community","165","0","1","Al Merkadh","1700329992","null","1","100","53873272","5","المركاض","2125"," 1 Building, Commercial+Residential 2B+G+ 10+R  ;  with internal and external finishes.","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","2024-05-16","مجمع ميدان ون","(2B+G+ 10+R  ) بناية 1, تجارية + سكنية 2سرداب + أرضي +10 ادوار + روف   مع التشطيبات الداخلية والخارجية"
"تراخيص","NOT_STARTED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","سيليستارا ريزيدنسز","2028-05-19","بنك المارية المحلي ذ.م.م","1","724289374","تحت الانشاء","2014","640800335","2025-05-20","1","0","Jumeirah Village Circle","121","0","1","Al Barsha South Fourth","1955074430","null","4","0","102","723739167","البرشاء جنوب الرابعة","3572","G+5P+13Floors","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا الدائرية","G+5P+13Floors"
"سلطة دبي للتطوير","ACTIVE","ليوان(ش.ذ.م.م.)","1121","عادي","مباني","409","كيوتو من أورو24","null","زاند بنك (مساهمه عامه)","1","513380639","فعال","1369","374690241","2023-06-20","1","0","Arjan","708","0","1","Al Barshaa South Third","354496139","null","2","5","27962557","723742269","البرشاء جنوب الثالثة","2702","1 Basement+ Ground Floor+ 3 Podiums+ 35 Floors (Residentials) ","ليوان(ش.ذ.م.م.)","Dubai Development Authority (DDA)","null","أرجان","قبو+ طابق أرضي+3 طوابق منصات+ 35 طابق (سكني)"
"سلطة دبي للتطوير","FINISHED","مدينة دبي الرياضية (ش. ذ. م. م)","200","عادي","مباني","435","ريد ريزيدنس","2015-11-30","المصرف العربي للاستثمار والتجارة الخارجية المصرف (مساهمة عامة)","1","848","منجز","660","660","2009-06-01","1","0","Dubai Sports City","333","1","1","Al Hebiah Fourth","181736368","null","2","100","200","26","الحبيه الرابعة","848","PROJECT CONSISTS OF 2B+G+22+R RESIDENTIAL BUILDING LOCATED IN AL HEBIAH FOURTH. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.","مدينة دبي الرياضية (ش. ذ. م. م)","Dubai Development Authority (DDA)","2014-05-24","مدينة دبي الرياضية",".(2B+G+22+R) المشروع يتكون من شقق سكنية في منطقة الحبية الرابعة التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية"
"سلطة دبي للتطوير","FINISHED","رمرام ش.ذ.م.م","41","عادي","مباني","465"," ماديسون ريزيدنس","2013-09-25","بنك ابوظبى التجارى","2","307","منجز","192","192","2010-04-01","1","0","Majan","123","0","1","Wadi Al Safa 3","657554544","null","2","100","41","5","وادي الصفا 3","307","Madison Park is freehold residential development located in Nad Al Shiba - Mizin. The Project comprises of 2 low rise buildings (2 & 4 storey height), Columbus & Astor.","رمرام ش.ذ.م.م","Dubai Development Authority (DDA)","2013-09-25","ماجان","ماديسون بارك عبارة عن مشروع تطوير سكني للتملك الحر يقع في منطقة ند الشبا - مزن. المشروع مؤلف من مبنيين منخفضة الارتفاع (2 و 4 طوابق علوية)، كولومبس و استور."
"تراخيص","PENDING","انترناشونال سيتي ( ش.ذ.م.م )","122","عادي","مباني","483","سبورتس فيو ريسيدنس 2 باي الهلال الذهبي","2027-01-31","مصرف الامارات الاسلامي مساهمة عامة","0","774113052","قيد التسجيل","1124","28522613","2025-08-01","1","0","International City Phase 3","0","0","1","Warsan Fourth","278427345","null","4","0","122","2","ورسان الرابعة","3836","RESIDENTIAL BUILDING (G+ 6 TYPICAL) ","انترناشونال سيتي ( ش.ذ.م.م )","Trakhees","null","المدينة العالمية - المرحلة الثالثة","مبنى سكني (أرضي + 6 طوابق متكرر )"
"سلطة دبي للتطوير","NOT_STARTED","نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م","1162","عادي","مباني","507","بيركشاير بارك","2027-06-30","بنك أبوظبي الأول ش.م.ع.","1","661560345","تحت الانشاء","1162","41647020","2025-03-04","1","0","TOWN SQUARE","149","0","1","Al Yelayiss 2","1745544272","null","2","0","41647020","25","اليلايس 2","3312","Residential Apartment Building + Ground Floor Retail G+P+12+R + Parking in Ground floor & Podium Floor","نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م","Dubai Development Authority (DDA)","null","تاون سكوير","مبنى سكني + تجاري بالطابق الأرضي ( أرضي + باركنج + 12 طابق + سطح + مواقف بالطابق الأرضي + بوديوم )"
"سلطة دبي للتطوير","NOT_STARTED","دبي لاند ريزيدنسز (ش.ذ.م.م)","899","عادي","مباني","467","بيفرلي بارك","2027-10-31","بنك المشرق (شركة مساهمة عامة)","1","795201315","تحت الانشاء","1220","144825548","2025-10-31","1","0","Dubai Land Residence Complex","159","0","1","Wadi Al Safa 5","388146566","null","2","0","899","33","وادي الصفا 5","4009","Residential Building (2B+G+11+R)","دبي لاند ريزيدنسز (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","مجمع دبي لاند السكني","N/A"
"سلطة دبي للتطوير","FINISHED","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","1021","عادي","فلل","505","داماك هيلز 2 - أمارجو 2","2024-01-29","بنك ابوظبى التجارى","0","399688749","منجز","1021","13743506","2022-05-01","1","104","DAMAC HILLS 2","0","0","2","Madinat Hind 4","310671498","null","2","100","13743506","5","مدينة هند 4","2357","146 Nos. of G+1 Villas,The project designed to have a concrete structure and block with internal and external finishes.","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","Dubai Development Authority (DDA)","2024-01-29","داماك هيليز 2","N/A"
"تراخيص","NOT_STARTED","شركة نخيل (ش.م.خ)","100","عادي","مباني","445","عزيزي أمير","2027-06-17","مصرف عجمان/ ش.م.ع","1","777203697","تحت الانشاء","1002","12595870","2025-06-17","1","0","Al Furjan","104","0","1","Jabal Ali First","1396486342","null","4","0","100","29766834","جبل علي الأولى","3844","G+ 2P + 9 + R Residential Building","شركة نخيل (ش.م.خ)","Trakhees","null","الفرجان","G+ 2P + 9 + R Residential Building    "
"دبي للجنوب","NOT_STARTED","مؤسسه مدينه دبى للطيران","996","عادي","مباني","462","ساوث سكوير","2028-06-30","بنك دبي التجاري (ش.م.ع)","4","747771546","تحت الانشاء","1142","31550449","2025-10-30","1","0","Dubai World Central","571","0","1","Madinat Al Mataar","2011214298","null","5","0","11808939","10","مدينة المطار","3711","The Project consists of 4 buildings, 2 Buildings G+7+roof and 2 Buildings G+14+roof all with one shared Ground floor commercial & residential apartments","مؤسسه مدينه دبى للطيران","Dubai South","null","دبي ورلد سنترال","     يتكون المشروع من 4 مباني , عدد 2 مبنى يتكون من ارضي و 7 طوابق و 2 عدد مبنى يتكون من ارضي و 14 طابق جميعها تحتوي علي طابق ارضي تجاري مشترك و شقق سكنية "
"سلطة دبي للتطوير","ACTIVE","دبي لاند ريزيدنسز (ش.ذ.م.م)","899","عادي","مباني","467","برج دالمور","2026-04-23","بنك المشرق (شركة مساهمة عامة)","1","733839859","فعال","1889","597345905","2024-10-24","1","0","Dubai Land Residence Complex","120","0","1","Wadi Al Safa 5","95308769","null","2","31","899","33","وادي الصفا 5","3622","Residential Building (B+G+13F+R).The project designed to have a concrete structure and block with internal and external finishes.","دبي لاند ريزيدنسز (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","مجمع دبي لاند السكني","N/A"
"سلطة دبي للتطوير","ACTIVE","الخليج التجاري (ش.ذ.م.م)","898","عادي","مباني","526","إيفا دبى","2026-04-01","بنك الإمارات دبي الوطني (ش.م.ع)","1","494399216","فعال","1521","464678541","2023-10-31","1","0","Business Bay","53","0","1","Business Bay","1137096992","null","2","27","898","7","الخليج التجارى","2621","B+G+3P+19F+Roof.The project designed to have a concrete structure and block with internal and external finishes.","الخليج التجاري (ش.ذ.م.م)","Dubai Development Authority (DDA)","2026-04-01","الخليج التجاري","N/A"
"بلدية دبي","NOT_STARTED","دبي لاند (ش.ذ.م.م)","854","عادي","مباني","232","مردف هيلز - اصايل افنيو","2027-05-05","بنك ابوظبى التجارى","1","680354260","تحت الانشاء","278","278","2025-05-05","1","0","","193","0","1","Mirdif","500636216","null","1","0","854","5","مردف","3389","Basement Parking Floor and Ground floor Residential and Amenities and 4 typical residential floors and roof services and residential floor,The project designed to have a concrete structure and block with internal and external finishes.","دبي لاند (ش.ذ.م.م)","Dubai Municipality","null","","n/a"
"سلطة دبي للتطوير","FINISHED","رمرام ش.ذ.م.م","41","عادي","مباني","464","كيو بوينت ليوان -PLOT R047","2014-04-21","بنك المشرق (شركة مساهمة عامة)","1","1195","منجز","903","903","2009-02-24","1","0","Liwan1","96","0","1","Wadi Al Safa 2","200547933","null","2","100","41","33","وادي الصفا 2","1195","Freehold residential development located in NAD AL SHIBA - Dubai. The building is designed and constructed as a B+G+6 concrete structure with external and internal finishing.","رمرام ش.ذ.م.م","Dubai Development Authority (DDA)","2014-04-21","ليوان 1","مشروع بناية سكنية للتملك الحر يقع في منطقة ند الشبا. المشروع عبارة طابق سرداب + طابق ارضي + 6 طوابق مشيدة بهيكل خرساني مع الانهاءات الخارجية و الداخلية."
"سلطة واحة دبي للسيليكون","ACTIVE","سلطة دبي للمناطق الإقتصادية المتكاملة","344","عادي","مباني","484","ألتيا وان","2025-09-22","بنك المشرق (شركة مساهمة عامة)","1","604502650","فعال","1098","24641421","2023-10-23","1","0","Silicon Oasis","123","0","1","Nadd Hessa","49880045","null","3","93","344","33","ند حصة","3039","RESIDENTIAL BUILDING (G+7+ROOF).The project designed to have a concrete structure and block with internal and external finishes.","سلطة دبي للمناطق الإقتصادية المتكاملة","Dubai Silicon Oasis Authority","2025-09-22","واحة السيليكون","N/A"
"سلطة دبي للتطوير","ACTIVE","الاتحاد العقارية (شركة مساهمة عامة)","27","عادي","مباني","444","تاكايا","2027-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","4","618021067","فعال","1923","604299854","2024-07-15","1","0","Motor City","822","0","1","Al Hebiah First","2027073704","null","2","1","27","1","الحبيه الاولى","3112","MIXED-USE DEVELOPMENT. TOWER A & C (1B+G+1P+19 FLOOR), TOWER B (1B+G+1P+29 FLOOR), TOWNHOUSES-39 NO AND VILLAS-5 NO  ","الاتحاد العقارية (شركة مساهمة عامة)","Dubai Development Authority (DDA)","null","موتور ستي","MIXED-USE DEVELOPMENT. TOWER A & C (1B+G+1P+19 FLOOR), TOWER B (1B+G+1P+29  FLOOR), TOWNHOUSES-39 NO AND VILLAS-5 NO  "
"سلطة دبي للتطوير","ACTIVE","دى اتش ايه ام منطقه حره - ذ.م.م","914","عادي","مباني","307","بلتمور صفوح","2026-01-29","مصرف الامارات الاسلامي مساهمة عامة","1","493555992","فعال","1450","427667573","2022-06-01","1","0","Sufouh Gardens","477","0","1","Al Safouh First","79448471","null","2","76","914","2","الصفوح الاولى","2619","4B+G+44F+R. Hotel Apartments.The project designed to have a concrete structure and block with internal and external finishes.","دى اتش ايه ام منطقه حره - ذ.م.م","Dubai Development Authority (DDA)","2025-05-01","حدائق الصفوح","N/A"
"سلطة دبي للتطوير","FINISHED","دبي للعقارات (ش.ذ.م.م)","850","عادي","مجمع فلل","467","لاروزا المرحله الثانيه","2023-10-31","بنك دبي التجاري (ش.م.ع)","0","272782953","منجز","1039","14868751","2019-11-21","1","56","","0","276","3","Wadi Al Safa 5","802864294","null","2","100","850","10","وادي الصفا 5","2176","Residential project Consists of  276 G+1 Townhouses","دبي للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","2023-10-31","","مشروع سكني يتكون من 276  فلل متلاصقه أرضي +1  "
"تراخيص","NOT_STARTED","الفرجان ( ش.ذ.م.م )","121","عادي","مباني","445","لي كلي باي مايا ديفيلوبرز","2027-01-14","مصرف ابوظبى الاسلامى","1","685213963","تحت الانشاء","1971","624543993","2025-01-15","1","0","Al Furjan","58","0","1","Jabal Ali First","554492374","null","4","0","121","4","جبل علي الأولى","3412","GR+2P+7+ROOF.The project designed to have a concrete structure and block with internal and external finishes.","الفرجان ( ش.ذ.م.م )","Trakhees","null","الفرجان","N/A"
"بلدية دبي","FINISHED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","مباني","335","عزيزي بارك أفينيو","2024-01-18","بنك ابوظبى التجارى","1","166477509","منجز","1002","12595870","2018-02-01","1","0","Meydan Racecourse Community","124","0","1","Nad Al Shiba First","1075865867","null","1","100","53873272","5","ند الشبا الاولى","2038","PROJECT CONSISTS OF B+G+4+R RESIDENTIAL COMMERCIAL APARTMENTS .","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","2024-01-18","مجمع مضمار ميدان","مبنى سكني تجاري يتكون من ( سرداب+أرضي+4 طوابق+سطح)  "
"سلطة دبي للتطوير","FINISHED","اعمار العقارية (ش . م. ع)","555","عادي","فلل","434","ألما -2","2013-02-13","بنك المشرق (شركة مساهمة عامة)","0","4641414","منجز","555","555","2012-09-01","1","19","","0","62","2","Wadi Al Safa 6","1805960355","null","2","100","555","33","وادي الصفا 6","1319","ALMA2 IS 96 (G+1) TOWN HOUSES LOCATED AT ARABIAN RANCHES PHASE 1","اعمار العقارية (ش . م. ع)","Dubai Development Authority (DDA)","2014-02-13",""," مجمع سكني مكون من 62 فلل(ارض+اول) في منطقة المرابيع العربية المرحلة الاولى"
"سلطة دبي للتطوير","FINISHED","اعمار العقارية (ش . م. ع)","555","عادي","فلل","463","المرابع العربية - مجتمع سمارا","2017-10-01","بنك المشرق (شركة مساهمة عامة)","2","6868662","منجز","1211","137044480","2013-05-01","1","177","Arabian Ranches II - SAMARA","0","0","2","Wadi Al Safa 7","207354970","null","2","100","555","33","وادي الصفا 7","1335","The Project consists of 177 nos. G+1 Villas located in Wadi Al Safa 7, Dubai UAE.  The villas are designed to have a concrete structure and block with internal and external finishes.  ","اعمار العقارية (ش . م. ع)","Dubai Development Authority (DDA)","2017-10-01","المرابع العربية 2 - سمارا","يتكون المشروع من 177 فيلا (أرضي + أول) تقع في منطقة وادي الصفا7 , دبي - الامارات العربية المتحدة  التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخلية و خارجي  "
"بلدية دبي","ACTIVE","شركة تطوير مجمع دبي للاستثمار (ذ. م. م)","867","عادي","مجمع فلل","458","فيردانا (المرحلة الاول)","2025-12-31","المصرف العربي للاستثمار والتجارة الخارجية المصرف (مساهمة عامة)","0","416468963","فعال","1277","264995823","2022-07-01","1","0","Dubai Investment Park First","0","178","3","Dubai Investment Park First","1315829820","null","1","69","867","26","مجمع دبي للاستثمار الاول","2394","178 (G+2F+R) Townhouses, The project designed to have a concrete structure and block with internal and external finishes.","شركة تطوير مجمع دبي للاستثمار (ذ. م. م)","Dubai Municipality","2025-12-31","مجمع دبي للاستثمار الاول","N/A"
"دبي للجنوب","FINISHED","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","1155","عادي","مجمع فلل","462","بارك سايد","2021-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","0","196526130","منجز","1155","33891624","2018-12-19","1","56","Dubai World Central","0","371","3","Madinat Al Mataar","1835220964","null","5","100","33891624","1","مدينة المطار","2102","PROJECT CONSISTS OF (G+1)X 371 RESIDENTIAL TOWN HOUSES LOCATED IN MADINAT AL MATAAR. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.    ","إعمار دبي الجنوب دي دبليو سي ش.ذ.م.م","Dubai South","2021-12-31","دبي ورلد سنترال","فيلل متلاصقة (تاون هاوس) ء (G+1)X 371 مشروع سكني مكون من  في منطقة مدينة المطار      المشروع مصممة من خرسانة مسلحة و فواصل من الطابوق مع التشطيبات الداخليةوالخارجية  "
"دبي للجنوب","NOT_STARTED","مؤسسه مدينه دبى للطيران","996","عادي","مباني","462","وعد - كاسكيدا 1","2028-10-31","بنك الفجيره الوطنى ش م ع","1","752963854","تحت الانشاء","2254","723860313","2025-11-01","1","0","Dubai World Central","249","0","1","Madinat Al Mataar","541926136","null","5","0","11808939","10985665","مدينة المطار","3731","G+16 Mixed Residential and Retail Building","مؤسسه مدينه دبى للطيران","Dubai South","null","دبي ورلد سنترال","مبنى سكني وتجاري مختلط مكون من طابق أرضي و16 طابقًا"
"تراخيص","FINISHED","شركة نخيل (ش.م.خ)","100","عادي","مباني","442","مساكن مايا 5","2024-10-15","بنك دبي التجاري (ش.م.ع)","1","531529275","منجز","1596","499796797","2022-10-15","1","0","Jumeirah Village Triangle","59","0","1","Al Barsha South Fifth","2083642030","null","4","100","100","10","البرشاء جنوب الخامسة","2747","UG+G+1P+6+1R ,Residential.The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","null","قرية جميرا المثلثة","N/A"
"بلدية دبي","FINISHED","مجموعة ميدان (ش.ذ.م.م)","1181","عادي","مباني","412","مدينة محمد بن راشد ال مكتوم الحي الأول ، المرحلة الثالثة ، ريسيدنز 11","2023-12-30","بنك دبي الاسلامي (شركة مساهمة عامة)","1","341905778","منجز","956","8370589","2021-03-15","1","0","Mohammed Bin Rashid AL Maktoum City -District -1 Community","130","0","1","Al Merkadh","757815021","null","1","100","53873272","1","المركاض","2226","Residential basement + ground +20 floors+ Roof","مجموعة ميدان (ش.ذ.م.م)","Dubai Municipality","2023-12-30"," مجمع مدينة الشيخ محمد بن راشد آل مكتوم - ديستريكت -1","سكني سرداب +أرضي +20 طابق+ سطح"
"بلدية دبي","FINISHED","مركز دبي للسلع المتعددة","153","عادي","مباني","350","بانيان تري ريسيدنزس هيلسايد دبي","2020-05-15","بنك الشارقة","1","147848681","منجز","1217","142932215","2016-11-15","1","0","Jumeirah Lakes Towers","236","0","1","Al Thanyah Fifth","340610891","null","1","100","153","27","الثنيه الخامسة","1990","PROJECT CONSISTS OF (2B+G+31+R)X 1 RESIDENTIAL BUILDING + (G+1) x 1 COMMERCIAL BUILDING + SERVICE BLOCK LOCATED IN AL THANYAH FIFTH.   THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.  ","مركز دبي للسلع المتعددة","Dubai Municipality","2020-05-15"," ابراج بحيرات الجميرا","مشروع يتكون من بناية سكنية   2B+G+31+R   G+1 بناية تجارية +   ملحق خدمات +  في منطقة الثنية الخامسة  . التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخلية و خارجية  "
"تراخيص","NOT_STARTED","جيه جي اي للعقارات ش.ذ.م.م","2249","عادي","فلل","485","باينوود استيت هومز","2028-11-17","بنك الإمارات دبي الوطني (ش.م.ع)","0","773735747","تحت الانشاء","2249","723254973","2026-03-18","1","246","Jumeirah Golf Estates - Phase B","0","0","2","Me'Aisem First","1973929225","null","4","0","723254973","7","معيصم الأول","3832","G+1 villas & G+1 + Roof villas","جيه جي اي للعقارات ش.ذ.م.م","Trakhees","null","جميرا غولف للعقارات - مرحلة بي","فيلات( أرضي + أول) و (أرضي + اول+ سطح)  "
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مجمع فلل","442","سكن البروج 1","2017-11-26","بنك الإمارات دبي الوطني (ش.م.ع)","0","32536935","منجز","1140","31216684","2016-06-01","1","0","Jumeirah Village Triangle","0","8","3","Al Barsha South Fifth","2064519823","null","4","100","102","7","البرشاء جنوب الخامسة","1774","8 No's of Residential Townhouse (G+1+R)","قرية جميرا (ش.ذ.م.م)","Trakhees","2017-11-26","قرية جميرا المثلثة","8 لا لل تاون هاوس سكني (G + 1 + R )  "
"سلطة دبي للتطوير","ACTIVE","تيكوم للإستثمارات منطقة حرة- ذ.م.م","856","عادي","مجمع فلل","453","صحرا ليفنج","2013-06-30","بنك المشرق (شركة مساهمة عامة)","0","668","فعال","1341","364715224","2009-03-28","1","0","","0","84","3","Saih Shuaib 2","1085054325","null","2","81","856","33","سيح شعيب 2","668","Freehold residential villa development located in Dubai Industrial City consisting of 84 villas designed as a G+1. It is designed to be constructed as a concrete structure and concrete blocks with cement render finish.","تيكوم للإستثمارات منطقة حرة- ذ.م.م","Dubai Development Authority (DDA)","2013-06-30","","مشروع فلل سكنية للتملك الحر يقع في مدينه دبي الصناعية (جبل علي). يتالف المشروع من 84 فيلا ارضي+طابق علوي مشيدة من هيكل خرساني وكتل طابوقيه (بلوك) مع انهاءاته الخارجية و الداخلية "
"سلطة دبي للتطوير","NOT_STARTED","دبي لاند ريزيدنسز (ش.ذ.م.م)","899","عادي","مباني","467","ميلوس من كارما","2027-04-01","بنك أبوظبي الأول ش.م.ع.","1","623759429","تحت الانشاء","1645","514905994","2024-08-01","1","0","Dubai Land Residence Complex","195","0","1","Wadi Al Safa 5","954118442","null","2","0","899","19","وادي الصفا 5","3132","2B+G+13,The project designed to have a concrete structure and block with internal and external finishes.","دبي لاند ريزيدنسز (ش.ذ.م.م)","Dubai Development Authority (DDA)","null","مجمع دبي لاند السكني","N/A"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","جويا فيردي ريزيدينس دبى","2019-01-21","مصرف عجمان/ ش.م.ع","1","98109046","منجز","1176","48930780","2016-09-02","1","0","Jumeirah Village Circle","110","0","1","Al Barsha South Fourth","917191355","null","4","100","102","29766834","البرشاء جنوب الرابعة","1919","PROJECT CONSISTS OF G+P+4+R RESIDENTIAL APARTMENTS LOCATED IN AL BARSHA SOUTH FOURTH. THE APARTMENTS ARE DESIGNED TO HAVE A CONCRETE STRUCTURE AND BLOCK WITH INTERNAL AND EXTERNAL FINISHES.","قرية جميرا (ش.ذ.م.م)","Trakhees","2019-01-21","قرية جميرا الدائرية",".(G+P+4+R) المشروع يتكون من شقق سكنية في منطقة البرشا جنوب الرابعة      التصميم مكون من خرسانة مسلحة و قواطع طوب و تشطيبات داخليةوخارجية    "
"سلطة دبي للتطوير","ACTIVE","ليوان(ش.ذ.م.م.)","1121","عادي","مباني","465","سامانا براري لاجونز","2028-03-31","بنك الفجيره الوطنى ش م ع","1","686444882","فعال","1598","500318383","2025-04-01","1","0","Majan","601","0","1","Wadi Al Safa 3","942301654","null","2","4","27962557","10985665","وادي الصفا 3","3422","3B+G+2RETAIL+2P+30+1Mech+Roof.The project designed to have a concrete structure and block with internal and external finishes.  ","ليوان(ش.ذ.م.م.)","Dubai Development Authority (DDA)","null","ماجان","N/A"
"سلطة دبي للتطوير","FINISHED","تنميات جلوبل للتطوير العقاري  ش ذ م م","905","عادي","مجمع فلل","465","مجموعة مايا الفاخرة","2025-03-02","بنك الإمارات دبي الوطني (ش.م.ع)","0","600336168","منجز","1458","429340348","2023-11-15","1","0","Living Legends","0","9","3","Wadi Al Safa 3","661445368","null","2","100","905","7","وادي الصفا 3","3018","9 Villas (G + 1+R) Attached Villas.The project designed to have a concrete structure and block with internal and external finishes.","تنميات جلوبل للتطوير العقاري  ش ذ م م","Dubai Development Authority (DDA)","2025-09-25","مجمع الأساطير الحية السكني","N/A"
"تراخيص","NOT_STARTED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","فيدا من اوم ون للتطوير العقاري","2028-04-30","البنك العربي المتحد","1","759681348","تحت الانشاء","2160","691833594","2025-04-01","1","0","Jumeirah Village Circle","69","0","1","Al Barsha South Fourth","2035204622","null","4","0","102","33602168","البرشاء جنوب الرابعة","3769","B+G+4+R","قرية جميرا (ش.ذ.م.م)","Trakhees","null","قرية جميرا الدائرية","B+G+4+R"
"سلطة دبي للتطوير","ACTIVE","ليوان(ش.ذ.م.م.)","1121","عادي","مباني","409","أربور فيو","null","بنك ابوظبى التجارى","1","546432220","فعال","1687","530544697","2023-10-05","1","0","Arjan","171","0","1","Al Barshaa South Third","625645387","null","2","79","27962557","5","البرشاء جنوب الثالثة","2814","G+7+R /Residential building. The project designed to have a concrete structure and block with internal and external finishes.","ليوان(ش.ذ.م.م.)","Dubai Development Authority (DDA)","null","أرجان","N/A"
"سلطة دبي للتطوير","PENDING","دبي لاند (ش.ذ.م.م)","854","عادي","مجمع فلل","465","البراري اكسورا فيلاز","null","بنك دبي التجاري (ش.م.ع)","0","535118592","قيد التسجيل","1488","442294811","2023-06-01","1","0","","0","0","3","Wadi Al Safa 3","1640436135","null","2","2","854","10","وادي الصفا 3","2766","189 VILLAS (G+2+ROOF)","دبي لاند (ش.ذ.م.م)","Dubai Development Authority (DDA)","null",""," عدد 189 فيلات (أرضي+2+سطح)"
"بلدية دبي","ACTIVE","داماك سي اس ال للاستثمار ش.ذ.م.م","1636","عادي","مباني","390","فولتا تاور","null","بنك الإمارات دبي الوطني (ش.م.ع)","1","537921241","فعال","1636","511257309","2023-12-13","1","0","","414","0","1","Burj Khalifa","1215265389","null","1","13","511257309","7","برج خليفة","2782","Project consists of 1B+G+62+2R floors residential tower, and adjacent parking building consist of 3B+G+12+R. The project designed to have a concrete structure and block with internal and external finishes.","داماك سي اس ال للاستثمار ش.ذ.م.م","Dubai Municipality","null","","N/A"
"سلطة دبي للتطوير","FINISHED","إعمار للتطوير (مساهمة عامة)","1211","عادي","مجمع فلل","469","ذا فالي - أورانيا","2025-12-31","بنك دبي التجاري (ش.م.ع)","0","419907072","منجز","1211","137044480","2022-09-22","1","35","","0","308","3","Al Yufrah 1","634704476","null","2","100","137044480","10","اليفره 1","2409","308 (G+1) Residential Townhouses The project designed to have a concrete structure and block with internal and external finishes.  ","إعمار للتطوير (مساهمة عامة)","Dubai Development Authority (DDA)","2025-12-31","","N/A"
"سلطة دبي للتطوير","ACTIVE","واحة الجزيرة العقارية (ش.ذ.م.م)","921","عادي","مباني","451","داماك لاجونز - لاجون فيوز 10","2027-03-31","بنك أبوظبي الأول ش.م.ع.","2","619347346","فعال","921","921","2024-08-21","1","0","","108","0","1","Al Hebiah Fifth","1512150152","null","2","11","921","19","الحبيه الخامسة","3118","Project consists of 2 Residential Towers of G+6+R floors. It is designed to have a concrete structure and block with internal and external finishes","واحة الجزيرة العقارية (ش.ذ.م.م)","Dubai Development Authority (DDA)","2027-03-31","","يتكون المشروع من برجين سكنيين مكونين من  G+6+R. تم تصميمه ليكون له هيكل خرساني وكتلة بتشطيبات داخلية وخارجية"
"تراخيص","FINISHED","شركة النخلة - جميرا (ش.ذ.م.م)","103","عادي","مباني","410","فندق ايميرلاد بالاس كمبينسكي","2019-05-15","","1","10534026","منجز","969","10472556","2013-09-25","1","0","Palm Jumeirah","387","0","1","Palm Jumeirah","1862394560","null","4","100","103","null","نخلة جميرا","1382","The project is located in Palm Jumeira area, its Hotel Building with B + LG + G + 6 + LR (lower roof) + UR (upper roof) & 10 Villas,the project made of concrete structure with internal and external finishes.","شركة النخلة - جميرا (ش.ذ.م.م)","Trakhees","2019-05-15","نخلة جميرا","يقع المشروع في منطقة نخلة جميرا، وهو عبارة عن فندق ويتكون من (سرداب + طابق ارضي منخفض + طابق ارضي +6  طوابق + سطح سفلي + سطح علوي) بالاضافة الى 10 فيلل , المشروع مصمم من هيكل خرساني مع التشطيبات الداخلية والخارجية     "
