permit_renewal_date,approval_date,total_area,application_type_arabic,parcel_id,application_id,building_count,load_timestamp,permit_no,application_type_english,application_status_arabic,project_no,application_submission_date,permit_date,application_status_english,building_type
"null","2007-05-15","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2510816","181051","0","2026-01-26 19:00:00","134353-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معتمدة ملغاة","134353","2007-05-03","null","Approved Application Cancelled","Investment Villa"
"null","2024-09-10","0","إلغاء  معاملة ترخيص","9131350","1715050","0","2026-01-26 19:00:00","415972-5-1","Permit Application Cancellation","معتمدة","415972","2024-09-10","null","Approved","null"
"null","null","0","إستثناءات","4160820","1322798","0","2026-01-26 19:00:00","348013-2-1","Request for Exceptions","معادة","348013","2019-09-23","null","RETURNED","Private Villa"
"null","2025-03-07","0","تقديم نهائي \ تعديلات أو أضافات","2810103","1773946","0","2026-01-26 19:00:00","418491-21-1","Final-Adjustment/Addition","الرخصة مسلمة","418491","2025-03-01","2025-03-07","Permit Delivered","Public Building"
"null","null","0","تقديم نهائي \ مبنى جديد","2631101","80359","1","2026-01-26 19:00:00","78479-1-1","Final-New Building","الرخصة مسلمة","78479","2003-08-18","null","Permit Delivered","Private Villa"
"null","2009-07-29","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3731434","333546","0","2026-01-26 19:00:00","149583-12-3","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","149583","2009-07-28","2009-08-03","Permit Delivered","Investment Villa"
"null","2013-06-17","0","تقديم نهائي \ تعديلات أو أضافات","2140745","619873","0","2026-01-26 19:00:00","226981-3-1","Final-Adjustment/Addition","معاملة معتمدة ملغاة","226981","2013-05-16","null","Approved Application Cancelled","Multi Storey"
"null","2011-08-14","0","ترخيص اعمال ديكور عادى","3730914","493573","0","2026-01-26 19:00:00","204961-1-2","Normal Decor Permit","الرخصة مسلمة","204961","2011-08-07","2011-08-15","Permit Delivered","Multi Storey"
"null","2016-06-02","592","تقديم نهائي \ مبنى جديد","6187331","929163","1","2026-01-26 19:00:00","279315-2-1","Final-New Building","الرخصة مسلمة","279315","2016-05-31","2016-06-21","Permit Delivered","Investment Villa"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3150169","85145","0","2026-01-26 19:00:00","83265-1-1","Final-Adjustment/Addition","الرخصة مسلمة","83265","2005-09-25","null","Permit Delivered","null"
"null","2021-12-08","0","طلب مخططات البناء","3750638","1468823","0","2026-01-26 19:00:00","376368-1-1","Apply for Buildings Drawings","معتمدة","376368","2021-12-07","null","Approved","null"
"null","null","35939","تقديم أولي \ مبنى جديد","3935928","1848097","0","2026-01-26 19:00:00","454651-1-3","Preliminary-New Building","لا مانع من التقديم النهائي","454651","2025-10-14","null","No objection for final submission","Floor Area Ratio"
"null","2023-08-14","441","تقديم نهائي \ مبنى جديد","6183523","1596562","1","2026-01-26 19:00:00","338584-2-2","Final-New Building","الرخصة مسلمة","338584","2023-08-11","2023-09-17","Permit Delivered","Investment Villa"
"null","null","0","طلب مخططات البناء","1250184","448751","0","2026-01-26 19:00:00","196551-2-1","Apply for Buildings Drawings","معادة","196551","2011-01-03","null","RETURNED","null"
"null","1993-07-04","0","تقديم نهائي \ تعديلات أو أضافات","8911477","52277","0","2026-01-26 19:00:00","50397-1-1","Final-Adjustment/Addition","الرخصة مسلمة","50397","1992-11-23","1993-07-19","Permit Delivered","null"
"null","2025-10-31","0","تقديم نهائي \ تعديلات أو أضافات","7115824","1851549","0","2026-01-26 19:00:00","465082-1-1","Final-Adjustment/Addition","الرخصة مسلمة","465082","2025-10-23","2025-10-31","Permit Delivered","Public Building"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3680482","102423","0","2026-01-26 19:00:00","100543-1-1","Final-Adjustment/Addition","الرخصة مسلمة","100543","2005-12-05","2005-12-07","Permit Delivered","null"
"null","2014-05-28","430","تقديم نهائي \ تعديلات أو أضافات","3521056","706558","0","2026-01-26 19:00:00","241825-3-3","Final-Adjustment/Addition","الرخصة مسلمة","241825","2014-05-22","2014-06-02","Permit Delivered","Private Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2810130","324250","0","2026-01-26 19:00:00","123829-2-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","123829","2009-06-28","null","RETURNED","Private Villa"
"null","2018-05-10","0","تقديم نهائي \ تعديلات أو أضافات","6319113","1197049","0","2026-01-26 19:00:00","266344-15-1","Final-Adjustment/Addition","الرخصة مسلمة","266344","2018-05-01","2018-05-13","Permit Delivered","Investment Villa"
"null","2024-03-13","0","الحصول على المنسوب المرجعي لمدخل المبنى","9140604","1665771","0","2026-01-26 19:00:00","423117-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","423117","2024-03-10","null","Approved","null"
"null","1994-01-22","0","تقديم نهائي \ تعديلات أو أضافات","3690218","14664","0","2026-01-26 19:00:00","12784-1-1","Final-Adjustment/Addition","الرخصة مسلمة","12784","1993-12-16","1994-01-25","Permit Delivered","Multi Storey"
"null","null","1815","تقديم نهائي \ مبنى جديد","6173718","1234682","0","2026-01-26 19:00:00","329002-2-1","Final-New Building","معادة","329002","2018-09-11","null","RETURNED","Private Villa"
"null","2008-12-22","349","تقديم نهائي \ مبنى جديد","6820522","276816","1","2026-01-26 19:00:00","163156-1-1","Final-New Building","الرخصة مسلمة","163156","2008-11-11","2009-01-05","Permit Delivered","Private Villa"
"null","null","28737","تقديم نهائي \ مبنى جديد","8880062","142637","0","2026-01-26 19:00:00","127880-1-1","Final-New Building","معاملة معادة ملغاة","127880","2006-08-05","null","Returned Application Cancelled","Multi Storey"
"null","2023-03-24","0","طلب مخططات البناء","4240504","1571264","0","2026-01-26 19:00:00","399206-1-1","Apply for Buildings Drawings","معتمدة","399206","2023-03-23","null","Approved","Private Villa"
"null","2018-10-21","0","تصريح حجز الارصفه واستغلالها","1234422","1247217","0","2026-01-26 19:00:00","318364-3-1","Walkside Booking Permit","الرخصة مسلمة","318364","2018-10-20","2018-10-22","Permit Delivered","null"
"null","2022-09-12","417","تقديم نهائي \ تعديلات أو أضافات","2810756","1523307","1","2026-01-26 19:00:00","377323-2-2","Final-Adjustment/Addition","الرخصة مسلمة","377323","2022-09-05","2022-09-13","Permit Delivered","Private Villa"
"null","2008-06-19","0","إستثناءات","2410397","248547","0","2026-01-26 19:00:00","123316-7-1","Request for Exceptions","معتمدة","123316","2008-06-17","null","Approved","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3520351","585976","0","2026-01-26 19:00:00","219143-5-1","Adjustment and Addition Permit Simple (Owners)","معادة","219143","2012-12-16","null","RETURNED","Investment Villa"
"null","2025-04-08","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","3321528","1782744","0","2026-01-26 19:00:00","396098-11-4","Final Arrangement and Digging","الرخصة مسلمة","396098","2025-04-02","2025-04-08","Permit Delivered","Investment Villa"
"null","2024-02-22","314","تقديم نهائي \ مبنى جديد","2130363","1660657","1","2026-01-26 19:00:00","421446-1-2","Final-New Building","الرخصة مسلمة","421446","2024-02-21","2024-03-02","Permit Delivered","Private Villa"
"null","null","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","3171107","749633","0","2026-01-26 19:00:00","249765-5-1","Final Arrangement and Digging","معادة","249765","2014-11-12","null","RETURNED","Multi Storey"
"null","2004-04-28","0","تقديم نهائي \ تعديلات أو أضافات","2810779","83349","0","2026-01-26 19:00:00","81469-1-1","Final-Adjustment/Addition","الرخصة مسلمة","81469","2004-04-21","2004-10-18","Permit Delivered","null"
"null","null","1014","تقديم نهائي \ تعديلات أو أضافات","3541773","1570484","0","2026-01-26 19:00:00","353152-11-1","Final-Adjustment/Addition","معاملة معادة ملغاة","353152","2023-03-21","null","Returned Application Cancelled","Public Building"
"null","2013-05-13","0","طلب تصريح اشغال مؤقت للأراضي","1341072","621494","0","2026-01-26 19:00:00","164857-15-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","164857","2013-05-07","2013-05-15","Permit Delivered","null"
"null","2025-09-19","17","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2610701","1834513","0","2026-01-26 19:00:00","456197-2-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","456197","2025-09-07","2025-09-22","Permit Delivered","Private Villa"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","5219784","1251917","0","2026-01-26 19:00:00","314615-6-1","Final-Adjustment/Addition","معادة","314615","2018-11-07","null","RETURNED","Public Building"
"null","2025-08-11","0","إستثناءات","3330103","1817468","0","2026-01-26 19:00:00","448384-3-1","Request for Exceptions","معتمدة","448384","2025-07-23","null","Approved","Investment Villa"
"null","2021-01-04","0","تقديم نهائي \ تعديلات أو أضافات","2450345","1404078","0","2026-01-26 19:00:00","230430-21-1","Final-Adjustment/Addition","الرخصة مسلمة","230430","2020-12-31","2021-01-10","Permit Delivered","Public Building"
"null","null","34","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3920564","1660149","0","2026-01-26 19:00:00","421805-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","421805","2024-02-20","null","RETURNED","Multi Storey"
"null","2023-06-07","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3760308","1588706","0","2026-01-26 19:00:00","373686-6-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","373686","2023-06-06","2023-12-22","Permit Delivered","Private Villa"
"null","1999-09-14","0","تقديم نهائي \ تعديلات أو أضافات","2330150","28757","0","2026-01-26 19:00:00","26877-1-1","Final-Adjustment/Addition","الرخصة مسلمة","26877","1999-09-13","1999-09-20","Permit Delivered","null"
"null","2025-06-04","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","9130319","1803285","0","2026-01-26 19:00:00","394758-10-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","394758","2025-06-02","2025-06-04","Permit Delivered","Private Villa"
"null","2015-09-03","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3350117","839613","0","2026-01-26 19:00:00","253602-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","253602","2015-09-03","2015-09-03","Permit Delivered","Multi Storey"
"null","2017-08-20","0","الحصول على المنسوب المرجعي لمدخل المبنى","9166845","1104632","0","2026-01-26 19:00:00","298200-3-1","Obtain the Gate Level of a Building Entrance","معتمدة","298200","2017-08-17","null","Approved","null"
"null","null","1148","تقديم نهائي \ مبنى جديد","6181200","832905","0","2026-01-26 19:00:00","268495-2-2","Final-New Building","معادة","268495","2015-08-16","null","RETURNED","Private Villa"
"null","1997-04-05","0","تقديم نهائي \ تعديلات أو أضافات","3520438","38284","0","2026-01-26 19:00:00","36404-1-1","Final-Adjustment/Addition","الرخصة مسلمة","36404","1997-03-22","1997-04-15","Permit Delivered","null"
"null","2014-05-19","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2440892","703887","0","2026-01-26 19:00:00","245455-1-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معتمدة ملغاة","245455","2014-05-13","null","Approved Application Cancelled","Private Villa"
"null","null","0","ترخيص اعمال ديكور عادى","3360234","184939","0","2026-01-26 19:00:00","140258-1-1","Normal Decor Permit","معاملة معادة ملغاة","140258","2007-05-29","null","Returned Application Cancelled","Multi Storey"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3450847","549137","0","2026-01-26 19:00:00","132130-51-1","Final-Adjustment/Addition","معادة","132130","2012-06-11","null","RETURNED","Multi Storey"
"null","null","0","إستثناءات","3130297","1650304","0","2026-01-26 19:00:00","417225-2-1","Request for Exceptions","معادة","417225","2024-01-18","null","RETURNED","Multi Storey"
"null","2017-10-23","0","تقديم نهائي \ تعديلات أو أضافات","1260931","989783","0","2026-01-26 19:00:00","271376-14-1","Final-Adjustment/Addition","الرخصة مسلمة","271376","2017-10-18","2018-10-23","Permit Delivered","Multi Storey"
"null","null","25599","تقديم نهائي \ مبنى جديد","6820159","268744","0","2026-01-26 19:00:00","153158-3-1","Final-New Building","معادة","153158","2008-09-22","null","RETURNED","Floor Area Ratio"
"null","2020-06-15","0","إلغاء رخصة (قبل بدء العمل)","3660974","1368360","0","2026-01-26 19:00:00","270923-7-1","Permit Cancellation (before start of work)","معتمدة","270923","2020-06-14","null","Approved","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","1170328","60518","0","2026-01-26 19:00:00","58638-1-1","Final-Adjustment/Addition","الرخصة مسلمة","58638","2006-01-02","2006-01-02","Permit Delivered","null"
"null","null","0","ترخيص اعمال ديكور عادى","1180892","187294","0","2026-01-26 19:00:00","139563-1-5","Normal Decor Permit","معادة","139563","2007-06-07","null","RETURNED","Multi Storey"
"null","2016-03-13","0","طلب مخططات البناء","3621070","905980","0","2026-01-26 19:00:00","282038-1-1","Apply for Buildings Drawings","معتمدة","282038","2016-03-13","null","Approved","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","1120180","587024","0","2026-01-26 19:00:00","188634-8-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","188634","2012-12-16","null","RETURNED","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3320395","696686","0","2026-01-26 19:00:00","247785-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","247785","2014-06-26","null","RETURNED","Investment Villa"
"null","2025-09-24","0","الحصول على المنسوب المرجعي لمدخل المبنى","9256547","1837597","0","2026-01-26 19:00:00","462581-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","462581","2025-09-23","null","Approved","null"
"null","2024-11-19","0","الحصول على المنسوب المرجعي لمدخل المبنى","4313812","1739444","0","2026-01-26 19:00:00","439792-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","439792","2024-11-16","null","Approved","null"
"null","2024-09-05","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","9131032","1712838","0","2026-01-26 19:00:00","415844-6-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","415844","2024-09-03","2024-11-14","Permit Delivered","Private Villa"
"null","null","644","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3620246","1627421","0","2026-01-26 19:00:00","416780-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","416780","2023-12-13","null","RETURNED","Private Villa"
"null","2024-08-07","0","طلب مخططات البناء","4240389","1704426","0","2026-01-26 19:00:00","432158-1-1","Apply for Buildings Drawings","معتمدة","432158","2024-08-06","null","Approved","Private Villa"
"null","2011-11-01","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2440702","505424","0","2026-01-26 19:00:00","192069-13-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","192069","2011-10-20","2011-11-12","Permit Delivered","Private Villa"
"null","2015-09-30","0","إستثناءات","1190132","844874","0","2026-01-26 19:00:00","270948-2-2","Request for Exceptions","معتمدة","270948","2015-09-20","null","Approved","Multi Storey"
"null","2022-08-03","0","تقديم نهائي \ تعديلات أو أضافات","59110036","1515581","0","2026-01-26 19:00:00","380173-3-1","Final-Adjustment/Addition","الرخصة مسلمة","380173","2022-08-02","2022-08-03","Permit Delivered","Investment Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3331431","1346164","0","2026-01-26 19:00:00","347598-8-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","347598","2020-01-26","null","Returned Application Cancelled","Public Building"
"null","2007-10-31","0","إستثناءات","3730436","207089","0","2026-01-26 19:00:00","145895-1-1","Request for Exceptions","معتمدة","145895","2007-10-16","null","Approved","Multi Storey"
"null","2007-01-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2621203","164699","0","2026-01-26 19:00:00","2736-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","2736","2007-01-22","2007-01-30","Permit Delivered","Private Villa"
"null","null","0","إلغاء رخصة (قبل بدء العمل)","6131683","1548386","0","2026-01-26 19:00:00","278232-19-1","Permit Cancellation (before start of work)","معاملة معادة ملغاة","278232","2022-12-23","null","Returned Application Cancelled","null"
"null","2023-08-18","179","تقديم نهائي \ تعديلات أو أضافات","4232245","1605650","0","2026-01-26 19:00:00","408601-1-1","Final-Adjustment/Addition","الرخصة مسلمة","408601","2023-08-13","2023-09-12","Permit Delivered","Private Villa"
"null","2024-10-15","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5980401","1725596","0","2026-01-26 19:00:00","413310-9-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","413310","2024-10-14","2024-10-15","Permit Delivered","Industrial Building"
"null","2016-12-14","0","الحصول على المنسوب المرجعي لمدخل المبنى","6187330","1007349","0","2026-01-26 19:00:00","279317-3-1","Obtain the Gate Level of a Building Entrance","معتمدة","279317","2016-12-12","null","Approved","null"
"null","2017-05-31","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6640141","1074576","0","2026-01-26 19:00:00","303134-3-3","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","303134","2017-05-28","2017-06-01","Permit Delivered","Private Villa"
"null","null","0","معاملة ترخيص سور","3121151","856442","0","2026-01-26 19:00:00","264327-6-2","FENCING PERMIT APPLICATION","معادة","264327","2015-10-28","null","RETURNED","Multi Storey"
"null","2013-01-29","0","طلب مخططات البناء","3690467","596587","0","2026-01-26 19:00:00","223489-1-1","Apply for Buildings Drawings","معتمدة","223489","2013-01-29","null","Approved","null"
"null","2024-05-30","369","تقديم نهائي \ مبنى جديد","71112686","1683874","1","2026-01-26 19:00:00","423243-2-2","Final-New Building","الرخصة مسلمة","423243","2024-05-26","2024-06-05","Permit Delivered","Private Villa"
"null","null","0","إستثناءات","5991023","1820470","0","2026-01-26 19:00:00","446621-3-2","Request for Exceptions","معادة","446621","2025-07-24","null","RETURNED","Multi Storey"
"null","2011-09-05","0","الحصول على المنسوب المرجعي لمدخل المبنى","2710487","496929","0","2026-01-26 19:00:00","195611-3-2","Obtain the Gate Level of a Building Entrance","معتمدة","195611","2011-08-25","null","Approved","null"
"null","null","0","ترخيص اعمال ديكور عادى","3360230","1111315","0","2026-01-26 19:00:00","314199-1-3","Normal Decor Permit","معادة","314199","2017-09-05","null","RETURNED","Multi Storey"
"null","null","25052","تقديم نهائي \ مبنى جديد","3475071","1113994","0","2026-01-26 19:00:00","317986-1-1","Final-New Building","معادة","317986","2017-10-23","null","RETURNED","Floor Area Ratio"
"null","null","0","طلب مخططات البناء","3121404","1614853","0","2026-01-26 19:00:00","411017-1-1","Apply for Buildings Drawings","معادة","411017","2023-09-11","null","RETURNED","Private Villa"
"null","2014-12-22","0","تقديم نهائي \ تعديلات أو أضافات","6731134","757512","0","2026-01-26 19:00:00","223028-14-1","Final-Adjustment/Addition","الرخصة مسلمة","223028","2014-12-10","2014-12-24","Permit Delivered","Floor Area Ratio"
"null","null","0","ترخيص اعمال ديكور عادى","6130951","1232388","0","2026-01-26 19:00:00","331035-2-3","Normal Decor Permit","معادة","331035","2018-08-29","null","RETURNED","Industrial Building"
"null","2013-02-10","0","إلغاء  معاملة ترخيص","2630174","598635","0","2026-01-26 19:00:00","186063-6-1","Permit Application Cancellation","معتمدة","186063","2013-02-07","null","Approved","null"
"null","2017-07-10","0","الحصول على المنسوب المرجعي لمدخل المبنى","6453198","1088770","0","2026-01-26 19:00:00","285409-6-2","Obtain the Gate Level of a Building Entrance","معتمدة","285409","2017-07-09","null","Approved","null"
"null","2001-05-06","0","تقديم نهائي \ تعديلات أو أضافات","1160134","60152","0","2026-01-26 19:00:00","58272-1-1","Final-Adjustment/Addition","الرخصة مسلمة","58272","2001-05-02","2001-05-08","Permit Delivered","null"
"null","2017-02-08","0","ترخيص اعمال ديكور عادى","2163281","1025321","0","2026-01-26 19:00:00","292097-1-3","Normal Decor Permit","الرخصة مسلمة","292097","2017-01-29","2017-02-08","Permit Delivered","Public Building"
"null","2002-06-03","0","تقديم نهائي \ تعديلات أو أضافات","3650924","17722","0","2026-01-26 19:00:00","15842-1-1","Final-Adjustment/Addition","الرخصة مسلمة","15842","2002-06-02","2002-06-03","Permit Delivered","null"
"null","2017-08-17","0","الحصول على المنسوب المرجعي لمدخل المبنى","6438955","1104441","0","2026-01-26 19:00:00","308775-2-1","Obtain the Gate Level of a Building Entrance","معتمدة","308775","2017-08-16","null","Approved","null"
"null","2018-07-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","7117508","1221250","0","2026-01-26 19:00:00","320203-5-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","320203","2018-07-17","2018-07-23","Permit Delivered","Private Villa"
"null","2007-02-15","0","الحصول على المنسوب المرجعي لمدخل المبنى","3120826","169849","0","2026-01-26 19:00:00","135870-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","135870","2007-02-15","null","Approved","null"
"null","null","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","2822537","938635","0","2026-01-26 19:00:00","263014-4-1","Final Arrangement and Digging","معادة","263014","2016-06-06","null","RETURNED","Private Villa"
"null","2020-03-30","81","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","8914172","1358754","1","2026-01-26 19:00:00","354394-1-1","Adjustment and Addition Permit Simple (Owners)","معتمدة","354394","2020-03-25","null","Approved","Private Villa"
"null","2016-08-07","0","ترخيص اعمال ديكور عادى","5990888","958022","0","2026-01-26 19:00:00","289417-1-3","Normal Decor Permit","الرخصة مسلمة","289417","2016-08-03","2016-08-07","Permit Delivered","Public Building"
"null","2016-10-08","0","الحصول على المنسوب المرجعي لمدخل المبنى","2310103","980235","0","2026-01-26 19:00:00","233423-8-4","Obtain the Gate Level of a Building Entrance","معتمدة","233423","2016-10-05","null","Approved","null"
"null","2017-05-27","0","تمديد فترة بقاء المخططات المعتمده  خدمات من خلال استشاري","5310551","1072625","0","2026-01-26 19:00:00","252457-5-1","Extending Approval Validity","معتمدة","252457","2017-05-24","null","Approved","null"
"null","null","3638","تقديم نهائي \ تعديلات أو أضافات","5990388","207793","0","2026-01-26 19:00:00","143522-3-1","Final-Adjustment/Addition","معادة","143522","2007-10-30","null","RETURNED","Industrial Building"
"null","null","0","ترخيص اعمال ديكور عادى","4244470","1092288","0","2026-01-26 19:00:00","310643-1-3","Normal Decor Permit","معادة","310643","2017-07-18","null","RETURNED","Multi Storey"
"null","2021-04-06","0","طلب مخططات البناء","3190172","1423205","0","2026-01-26 19:00:00","366657-1-1","Apply for Buildings Drawings","معتمدة","366657","2021-03-29","null","Approved","null"
"null","2022-03-14","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2644912","1484625","0","2026-01-26 19:00:00","374842-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","374842","2022-03-04","2022-03-14","Permit Delivered","Public Building"
"null","2024-05-27","0","تقديم نهائي \ تعديلات أو أضافات","3731110","1674828","0","2026-01-26 19:00:00","320404-22-1","Final-Adjustment/Addition","الرخصة مسلمة","320404","2024-04-24","2024-05-31","Permit Delivered","Multi Storey"
"null","2017-12-04","0","الحصول على المنسوب المرجعي لمدخل المبنى","1240481","1144523","0","2026-01-26 19:00:00","316057-2-1","Obtain the Gate Level of a Building Entrance","معتمدة","316057","2017-12-03","null","Approved","null"
"null","2018-01-17","0","تصريح حجز الارصفه واستغلالها","3690136","1159355","0","2026-01-26 19:00:00","323995-1-1","Walkside Booking Permit","الرخصة مسلمة","323995","2018-01-09","2018-01-17","Permit Delivered","null"
"null","2007-11-12","0","ترخيص اعمال ديكور عادى","3170983","211214","0","2026-01-26 19:00:00","146240-1-2","Normal Decor Permit","الرخصة ملغاة","146240","2007-11-12","2007-11-12","Permit Cancelled","Multi Storey"
"null","null","0","ترخيص اعمال ديكور عادى","3439433","972953","0","2026-01-26 19:00:00","292224-1-2","Normal Decor Permit","معادة","292224","2016-09-10","null","RETURNED","Multi Storey"
"null","2011-06-07","0","إلغاء  معاملة ترخيص","1150129","481680","0","2026-01-26 19:00:00","149994-5-1","Permit Application Cancellation","معتمدة","149994","2011-06-07","null","Approved","null"
"null","null","10585","تقديم أولي \ مبنى جديد","3260897","746018","0","2026-01-26 19:00:00","251688-1-2","Preliminary-New Building","معادة","251688","2014-10-30","null","RETURNED","Floor Area Ratio"
"null","null","0","ترخيص اعمال ديكور عادى","3680348","150733","0","2026-01-26 19:00:00","128555-1-3","Normal Decor Permit","معادة","128555","2006-09-17","null","RETURNED","Public Building"
"null","2021-02-14","0","تمديد فترة بقاء المخططات المعتمده  خدمات من خلال استشاري","2825547","1414420","0","2026-01-26 19:00:00","348731-3-1","Extending Approval Validity","معتمدة","348731","2021-02-13","null","Approved","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","6150136","1436372","0","2026-01-26 19:00:00","275695-26-1","Final-Adjustment/Addition","معاملة معادة ملغاة","275695","2021-06-10","null","Returned Application Cancelled","Private Villa"
"null","2017-06-15","0","طلب مخططات البناء","6641534","1080980","0","2026-01-26 19:00:00","310190-1-1","Apply for Buildings Drawings","معتمدة","310190","2017-06-14","null","Approved","null"
"null","2013-04-24","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","1190214","613490","0","2026-01-26 19:00:00","168825-8-2","Final Arrangement and Digging","الرخصة مسلمة","168825","2013-04-08","2013-04-25","Permit Delivered","Floor Area Ratio"
"null","2017-07-31","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6312950","1097236","0","2026-01-26 19:00:00","298754-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","298754","2017-07-30","2017-08-02","Permit Delivered","Investment Villa"
"null","2006-06-10","2696","تقديم نهائي \ تعديلات أو أضافات","3690675","133480","3","2026-01-26 19:00:00","101307-3-3","Final-Adjustment/Addition","الرخصة مسلمة","101307","2006-05-30","2006-06-12","Permit Delivered","Public Building"
"null","null","0","إستثناءات","3330203","1697467","0","2026-01-26 19:00:00","428235-2-1","Request for Exceptions","معادة","428235","2024-07-16","null","RETURNED","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","2640299","1841852","0","2026-01-26 19:00:00","459293-4-1","Adjustment and Addition Permit Simple (Owners)","معادة","459293","2025-09-25","null","RETURNED","Multi Storey"
"null","2022-03-07","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","3470173","1483878","0","2026-01-26 19:00:00","354918-6-3","Final Arrangement and Digging","الرخصة مسلمة","354918","2022-02-25","2022-03-08","Permit Delivered","Floor Area Ratio"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3460585","1269107","0","2026-01-26 19:00:00","267774-40-1","Final-Adjustment/Addition","معادة","267774","2019-01-14","null","RETURNED","Floor Area Ratio"
"null","2022-11-18","0","طلب مخططات البناء","3660459","1540299","0","2026-01-26 19:00:00","388906-3-1","Apply for Buildings Drawings","معتمدة","388906","2022-11-17","null","Approved","null"
"null","null","0","ترخيص اعمال ديكور عادى","3731123","665719","0","2026-01-26 19:00:00","237208-1-1","Normal Decor Permit","معادة","237208","2013-12-03","null","RETURNED","Multi Storey"
"null","null","0","ترخيص اعمال ديكور عادى","1290621","474426","0","2026-01-26 19:00:00","201501-1-2","Normal Decor Permit","معادة","201501","2011-05-04","null","RETURNED","Public Building"
